"RK",TIERS,"PLAYER NAME",TEAM,"FANTASYPTS","YDS","TDS","REC","YDS","TDS","ATT","YDS","TDS"
"1",1,"Ja'Marr Chase",CIN,"313.6","0","0","125","1412","8","3","14","0"
"2",1,"Jaxon Smith-Njigba",SEA,"359.9","0","0","119","1793","10","7","36","0"
"3",1,"Puka Nacua",LAR,"375","0","0","129","1715","10","10","105","1"
"4",1,"Bijan Robinson",ATL,"370.8","0","0","79","820","4","287","1478","7"
"5",1,"Jahmyr Gibbs",DET,"366.9","0","0","77","616","5","243","1223","13"
"6",2,"Justin Jefferson",MIN,"201.5","0","0","84","1048","2","2","7","0"
"7",2,"Amon-Ra St. Brown",DET,"324","0","0","117","1401","11","3","9","0"
"8",2,"CeeDee Lamb",DAL,"200.9","0","0","75","1077","3","1","2","0"
"9",2,"Malik Nabers",NYG,"57.1","0","0","18","271","2","0","0","0"
"10",2,"Ashton Jeanty",LV,"245.1","0","0","55","346","5","266","975","5"
"11",2,"Jeremiyah Love",ARI,"0","0","0","0","0","0","0","0","0"
"12",2,"Drake London",ATL,"201.9","0","0","68","919","7","0","0","0"
"13",2,"De'Von Achane",MIA,"322.8","0","0","67","488","4","238","1350","8"
"14",3,"Tetairoa McMillan",CAR,"211.4","0","0","70","1014","7","0","0","0"
"15",3,"Omarion Hampton",LAC,"135.7","0","0","32","192","1","124","545","4"
"16",3,"James Cook III",BUF,"302.2","0","0","33","291","2","309","1621","12"
"17",3,"George Pickens",DAL,"291.9","0","0","93","1429","9","0","0","0"
"18",3,"Nico Collins",HOU,"226.2","0","0","71","1117","6","2","15","1"
"19",3,"Jonathan Taylor",IND,"362.3","0","0","46","378","2","323","1585","18"
"20",3,"Josh Allen",BUF,"374.6","3668","25","0","0","0","112","579","14"
"21",3,"Brock Bowers",LV,"176.2","0","0","64","680","7","2","2","0"
"22",3,"Trey McBride",ARI,"315.9","0","0","126","1239","11","0","0","0"
"23",4,"Drake Maye",NE,"360","4394","31","0","0","0","103","450","4"
"24",4,"Chris Olave",NO,"269","0","0","100","1163","9","1","-3","0"
"25",4,"Emeka Egbuka",TB,"195.7","0","0","63","938","6","2","9","0"
"26",4,"Garrett Wilson",NYJ,"99.5","0","0","36","395","4","0","0","0"
"27",4,"Carnell Tate",TEN,"0","0","0","0","0","0","0","0","0"
"28",4,"Kenneth Walker III",KC,"191.9","0","0","31","282","0","221","1027","5"
"29",4,"Ladd McConkey",LAC,"180.9","0","0","66","789","6","0","0","0"
"30",4,"Breece Hall",NYJ,"207.7","0","0","36","350","1","243","1065","4"
"31",4,"Jayden Daniels",WAS,"117.3","1262","8","0","0","0","58","278","2"
"32",4,"Lamar Jackson",BAL,"221.9","2549","21","0","0","0","67","349","2"
"33",5,"Jordyn Tyson",NO,"0","0","0","0","0","0","0","0","0"
"34",5,"Rashee Rice",KC,"150.1","0","0","53","571","5","5","20","1"
"35",5,"Luther Burden III",CHI,"127.9","0","0","47","652","2","6","37","0"
"36",5,"Colston Loveland",CHI,"165.1","0","0","58","713","6","1","-2","0"
"37",5,"DeVonta Smith",PHI,"201.8","0","0","77","1008","4","0","0","0"
"38",5,"A.J. Brown",NE,"220.3","0","0","78","1003","7","0","0","0"
"39",5,"Chase Brown",CIN,"282.6","0","0","69","437","5","232","1019","6"
"40",5,"Tee Higgins",CIN,"211.6","0","0","59","846","11","0","0","0"
"41",5,"Joe Burrow",CIN,"139.5","1809","17","0","0","0","14","41","0"
"42",5,"Makai Lemon",PHI,"0","0","0","0","0","0","0","0","0"
"43",5,"Zay Flowers",BAL,"243.3","0","0","86","1211","5","10","62","1"
"44",5,"Tyler Warren",IND,"188.5","0","0","76","817","4","6","8","1"
"45",5,"Rome Odunze",CHI,"146.1","0","0","44","661","6","0","0","0"
"46",5,"TreVeyon Henderson",NE,"206.2","0","0","35","221","1","180","911","9"
"47",5,"Caleb Williams",CHI,"325.2","3942","27","0","0","0","77","383","3"
"48",5,"Patrick Mahomes II",KC,"296.7","3587","22","0","0","0","64","422","5"
"49",5,"Jaylen Waddle",DEN,"194.1","0","0","64","910","6","2","28","0"
"50",5,"Christian McCaffrey",SF,"416.6","0","0","102","924","7","311","1202","10"
"51",6,"Justin Herbert",LAC,"299.9","3727","26","0","0","0","83","498","2"
"52",6,"Jameson Williams",DET,"219.9","0","0","65","1117","7","6","12","0"
"53",6,"Saquon Barkley",PHI,"232.3","0","0","37","273","2","280","1140","7"
"54",6,"Harold Fannin Jr.",CLE,"186.4","0","0","72","731","6","7","13","1"
"55",6,"Tucker Kraft",GB,"117.2","0","0","32","489","6","1","3","0"
"56",6,"Jalen Hurts",PHI,"305.1","3224","25","0","0","0","105","421","8"
"57",6,"Marvin Harrison Jr.",ARI,"127.8","0","0","41","608","4","0","0","0"
"58",6,"Quinshon Judkins",CLE,"169.8","0","0","26","171","0","230","827","7"
"59",6,"Brian Thomas Jr.",JAC,"138.8","0","0","48","707","2","3","21","1"
"60",6,"Sam LaPorta",DET,"106.9","0","0","40","489","3","0","0","0"
"61",6,"Trevor Lawrence",JAC,"350.2","4007","29","0","0","0","82","359","9"
"62",6,"Kyren Williams",LAR,"263.3","0","0","36","281","3","259","1252","10"
"63",6,"Jaxson Dart",NYG,"246.6","2272","15","0","0","0","86","487","9"
"64",6,"Bucky Irving",TB,"138.5","0","0","30","277","3","173","588","1"
"65",6,"Javonte Williams",DAL,"242.8","0","0","35","137","2","252","1201","11"
"66",6,"Travis Etienne Jr.",NO,"253.9","0","0","36","292","6","260","1107","7"
"67",6,"Brock Purdy",SF,"187.4","2167","20","0","0","0","33","147","3"
"68",6,"KC Concepcion",CLE,"0","0","0","0","0","0","0","0","0"
"69",6,"Kyle Pitts Sr.",ATL,"210.8","0","0","88","928","5","0","0","0"
"70",6,"Cam Skattebo",NYG,"127.7","0","0","24","207","2","101","410","5"
"71",6,"Bo Nix",DEN,"315.8","3931","25","0","0","0","83","356","5"
"72",6,"Jadarian Price",SEA,"0","0","0","0","0","0","0","0","0"
"73",6,"Alec Pierce",IND,"183.3","0","0","47","1003","6","0","0","0"
"74",7,"Josh Jacobs",GB,"237.1","0","0","36","282","1","234","929","13"
"75",7,"Christian Watson",GB,"132.4","0","0","35","611","6","1","3","0"
"76",7,"Kenyon Sadiq",NYJ,"0","0","0","0","0","0","0","0","0"
"77",7,"Jordan Addison",MIN,"135.1","0","0","42","610","3","2","81","1"
"78",7,"Derrick Henry",BAL,"279.5","0","0","15","150","0","307","1595","16"
"79",7,"DJ Moore",BUF,"170.2","0","0","50","682","6","15","79","1"
"80",7,"DK Metcalf",PIT,"187.2","0","0","59","850","6","2","12","1"
"81",7,"Terry McLaurin",WAS,"114.2","0","0","38","582","3","0","0","0"
"82",7,"Jordan Love",GB,"241.1","3381","23","0","0","0","47","199","0"
"83",7,"Omar Cooper Jr.",NYJ,"0","0","0","0","0","0","0","0","0"
"84",7,"Michael Wilson",ARI,"220.6","0","0","78","1006","7","0","0","0"
