Player,SACK,INT,FR,FF,TD,SAFETY,PA,YDS AGN,FPTS
Houston Texans,49.5,14.2,12.4,18.4,2.7,1,320.1,"5,058.40",120.8
Denver Broncos,58.9,14,8.4,12.3,2.6,0,314.3,"4,840.40",119.2
Minnesota Vikings,49.8,11.9,12.6,18,2.5,0,368.5,"5,291.60",113.7
Pittsburgh Steelers,47.2,11.9,13.3,18.8,2.6,0,340.7,"5,443.10",113
Seattle Seahawks,46.5,13.4,9.6,13.5,3.3,0,314,"5,115.50",112.5
Detroit Lions,49.7,13.4,9.4,13.7,2.7,0,366.3,"5,450.20",111.6
Atlanta Falcons,52.3,12.9,9.1,13.3,2.5,0,413.3,"5,539.90",111.2
Los Angeles Chargers,49.9,14.4,8.5,12.6,2.5,0,375.2,"5,467.60",110.7
Los Angeles Rams,47.4,13.6,10.2,14.5,2.5,0,337.3,"5,241.80",110.1
Chicago Bears,40.8,14.5,11.5,16.7,2.6,0,384.6,"5,910.00",108.7
Baltimore Ravens,46.5,12.7,9.8,13.9,2.5,0,353.3,"5,293.80",106.4
Buffalo Bills,44.1,13.9,8.8,13.1,2.7,0,405.2,"5,734.70",105.5
Philadelphia Eagles,42.3,13.5,10,14.4,2.6,0,326.3,"5,256.90",104.8
New Orleans Saints,46.3,12.5,9.4,13.2,2.4,0,401.6,"5,480.40",104.6
Tennessee Titans,47.3,11,9.3,13.1,2.6,0,463.3,"5,961.80",103.5
Cincinnati Bengals,42.8,12.6,9.7,13.4,2.7,0,404.1,"5,824.20",103.3
New England Patriots,42.5,12.9,8.9,12.5,2.8,0,357.7,"5,264.30",103.2
Cleveland Browns,47,12.2,8.9,12.7,2.3,0,371.4,"5,186.90",103.2
Washington Commanders,44.8,11.1,9.5,13.6,2.6,0,446.9,"6,136.00",101.2
Miami Dolphins,45,10.7,9.6,13.7,2.5,0,467.9,"6,087.80",100.2
Jacksonville Jaguars,37.2,12.9,9.3,13.6,2.9,0,386.2,"5,491.60",99.2
Tampa Bay Buccaneers,41.1,12.1,9.6,13.5,2.4,0,389.8,"5,600.50",98.9
Green Bay Packers,40.1,12.4,9.6,13.5,2.4,0,371.3,"5,509.40",98.4
Las Vegas Raiders,42.7,10.9,10.1,14,2.2,0,439.6,"5,729.10",97.9
Kansas City Chiefs,42.5,12.1,8.4,12.3,2.3,0,360.8,"5,399.50",97.4
New York Giants,40.6,11.2,8.7,12.9,2.5,0,433.4,"6,057.50",95.5
Indianapolis Colts,40.1,11.9,8.5,12.1,2.4,0,384.2,"5,512.00",95.1
Arizona Cardinals,35.7,12.1,10.2,14.4,2.4,0,486.2,"6,151.30",94.4
Dallas Cowboys,41,10.1,9.2,13.2,2.3,0,448,"6,085.60",93.5
New York Jets,37.7,10.9,8,11.7,2.9,0,431.7,"5,660.40",92.9
San Francisco 49ers,35.3,11.1,10.5,15.4,2.4,0,395.5,"5,640.40",92.7
Carolina Panthers,39.8,11.9,7.1,10.5,2.2,0,397.3,"5,778.20",90.8
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
