"Rank","Player","Team","Bye","POS","AVG","Real-Time (?)"
"1","Ja'Marr Chase","CIN","10","WR1","1.0","1"
"2","Justin Jefferson","MIN","6","WR2","2.0","6  -4"
"3","Bijan Robinson","ATL","5","RB1","4.0","2  +1"
"4","CeeDee Lamb","DAL","10","WR3","4.5","5  -1"
"5","Malik Nabers","NYG","14 ","WR4","4.5","12  -7"
"6","Jahmyr Gibbs","DET","8","RB2","5.5","4  +2"
"7","Ashton Jeanty","LV","8","RB3","7.0","9  -2"
"8","Puka Nacua","LAR","8","WR5","9.5","16  -8"
"9","Amon-Ra St. Brown","DET","8","WR6","9.5","10  -1"
"10","Saquon Barkley","PHI","9","RB4","10.5","3  +7"
"11","Brian Thomas Jr.","JAC","8","WR7","10.5","19  -8"
"12","Brock Bowers","LV","8 ","TE1","10.5","24  -12"
"13","Nico Collins","HOU","6","WR8","13.0","13"
"14","Drake London","ATL","5","WR9","15.5","15  -1"
"15","Ladd McConkey","LAC","12","WR10","17.0","26  -11"
"16","De'Von Achane","MIA","12","RB5","17.0","17  -1"
"17","Jaxon Smith-Njigba","SEA","8","WR11","20.5","37  -20"
"18","Marvin Harrison Jr.","ARI","8","WR12","20.5","39  -21"
"19","Trey McBride","ARI","8","TE2","21.0","30  -11"
"20","A.J. Brown","NE","14","WR13","21.0","18  +2"
"21","Josh Allen","BUF","7","QB1","22.0","20  +1"
"22","Bucky Irving","TB","9","RB6","22.5","21  +1"
"23","Omarion Hampton","LAC","12","RB7","22.5","29  -6"
"24","Jayden Daniels","WAS","12 ","QB2","24.0","31  -7"
"25","Lamar Jackson","BAL","7","QB3","24.0","22  +3"
"26","Garrett Wilson","NYJ","9 ","WR14","25.5","47  -21"
"27","Jonathan Taylor","IND","11","RB8","28.0","14  +13"
"28","Tee Higgins","CIN","10","WR15","30.0","28"
"29","Breece Hall","NYJ","9","RB9","30.0","45  -16"
"30","Rashee Rice","KC","10 ","WR16","32.0","81  -51"
"31","Tetairoa McMillan","CAR","14","WR17","32.0","61  -30"
"32","Travis Hunter","JAC","8 ","WR18","33.0","71  -39"
"33","Kyren Williams","LAR","8","RB10","33.0","27  +6"
"34","Derrick Henry","BAL","7","RB11","34.0","7  +27"
