"Rank","Player","TGT","TGT %","REC","YDS","Y/R","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Michael Thomas (NO)","185","33","149","1,725","11.6","17","9","1","-9","0","0","16","374.6","23.4","0.7%"
"2","Chris Godwin Jr. (TB)","121","20","86","1,333","15.5","25","9","1","8","0","0","14","276.1","19.7","88.3%"
"3","Julio Jones (ATL)","157","24.1","99","1,394","14.1","21","6","2","-3","0","0","15","274.1","18.3","1.3%"
"4","Cooper Kupp (LAR)","134","22.1","94","1,161","12.4","21","10","2","4","0","0","16","270.5","16.9","19.9%"
"5","DeAndre Hopkins (HOU)","150","28.6","104","1,165","11.2","16","7","2","18","0","0","15","269.5","18.0","0.7%"
"6","Keenan Allen (LAC)","149","25.6","104","1,199","11.5","15","6","3","16","0","0","16","261.5","16.3","12.2%"
"7","Julian Edelman (NE)","153","26.1","100","1,117","11.2","13","6","8","27","0","1","16","256.3","16.0","8.4%"
"8","Allen Robinson II (CHI)","154","27.1","98","1,147","11.7","15","7","1","2","0","0","16","254.9","15.9","1.4%"
"9","Kenny Golladay (DET)","116","21.1","65","1,190","18.3","22","11","0","0","0","1","16","248.0","15.5","4.0%"
"10","Amari Cooper (DAL)","119","20.6","79","1,189","15.1","17","8","1","6","0","0","16","246.5","15.4","1.1%"
"11","DeVante Parker (MIA)","128","21.5","72","1,202","16.7","21","9","0","0","0","0","16","246.2","15.4","0.0%"
"12","Jarvis Landry (CLE)","138","26.8","83","1,174","14.1","20","6","1","10","0","0","16","237.4","14.8","7.1%"
"13","Tyler Lockett (SEA)","110","22.2","82","1,057","12.9","15","8","4","-5","0","0","16","235.2","14.7","0.7%"
"14","Robert Woods (LAR)","139","22.9","90","1,134","12.6","14","2","17","115","1","0","15","232.9","15.5","1.2%"
"15","Mike Evans (TB)","118","19.4","67","1,157","17.3","17","8","0","0","0","0","13","232.7","17.9","93.4%"
"16","DJ Moore (CAR)","135","22.4","87","1,175","13.5","13","4","6","40","0","1","15","230.5","15.4","94.5%"
"17","DJ Chark Jr. (JAC)","118","21","73","1,008","13.8","17","8","2","20","0","0","15","225.8","15.1","1.3%"
"18","Tyler Boyd (CIN)","148","25.2","90","1,046","11.6","12","5","4","23","0","2","16","222.9","13.9","1.2%"
"19","Courtland Sutton (DEN)","124","26.2","72","1,112","15.4","18","6","3","17","0","0","16","222.4","13.9","91.9%"
"20","John Brown (BUF)","115","23.8","72","1,060","14.7","17","6","2","7","0","0","15","219.8","14.7","0.0%"
"21","A.J. Brown (TEN)","84","19.9","52","1,051","20.2","15","8","3","60","1","0","16","217.1","13.6","98.6%"
"22","Michael Gallup (DAL)","113","19.4","66","1,107","16.8","18","6","0","0","0","0","14","212.7","15.2","1.1%"
"22","Davante Adams (GB)","127","23.4","83","997","12.0","12","5","0","0","0","1","12","212.7","17.7","97.1%"
"24","Stefon Diggs (MIN)","94","21.3","63","1,130","17.9","20","6","5","61","0","3","15","212.1","14.1","51.8%"
"25","Odell Beckham Jr. (CLE)","133","25.9","74","1,035","14.0","16","4","3","10","0","1","16","201.3","12.6","3.0%"
"26","Jamison Crowder (NYJ)","122","24.5","78","833","10.7","11","6","1","4","0","0","16","197.7","12.4","1.0%"
"27","Calvin Ridley (ATL)","93","14.2","63","866","13.7","12","7","2","34","0","0","13","197.0","15.2","33.0%"
"28","Marvin Jones Jr. (DET)","91","16.5","62","779","12.6","12","9","2","0","0","0","13","193.9","14.9","0.0%"
"29","Terry McLaurin (WAS)","93","20","58","919","15.8","15","7","0","0","0","0","14","191.9","13.7","94.9%"
"30","Emmanuel Sanders (SF)","97","20.6","66","869","13.2","11","5","0","0","0","0","17","190.3","11.2","0.0%"
"31","Deebo Samuel Sr. (SF)","81","17.3","57","802","14.1","17","3","14","159","3","1","15","189.1","12.6","37.5%"
"32","Tyreek Hill (KC)","89","16","58","860","14.8","11","7","8","23","0","0","12","188.3","15.7","44.0%"
"33","DK Metcalf (SEA)","100","20","58","900","15.5","13","7","2","11","0","3","16","187.1","11.7","92.4%"
"34","Cole Beasley (BUF)","106","21.7","67","778","11.6","10","6","0","0","0","0","15","184.8","12.3","0.0%"
"35","Larry Fitzgerald (ARI)","109","20.5","75","804","10.7","10","4","0","0","0","1","16","177.4","11.1","0.8%"
"36","Curtis Samuel (CAR)","105","17.7","54","627","11.6","8","6","19","130","1","0","16","171.7","10.7","1.1%"
"37","Darius Slayton (NYG)","84","14","48","740","15.4","12","8","0","0","0","0","14","170.0","12.1","8.6%"
"38","Christian Kirk (ARI)","108","20.3","68","709","10.4","6","3","10","93","0","0","13","168.2","12.9","17.0%"
"39","Diontae Johnson (PIT)","92","18.5","59","680","11.5","7","5","4","41","0","2","16","163.1","10.2","1.0%"
"40","Robbie Chosen (NYJ)","96","19.2","52","779","15.0","13","5","1","4","0","0","16","162.3","10.1","0.0%"
"41","Mike Williams (LAC)","90","15.5","49","1,001","20.4","17","2","1","2","0","0","15","161.3","10.8","1.2%"
"42","Dede Westbrook (JAC)","101","18","66","660","10.0","10","3","5","27","0","0","15","156.7","10.4","0.0%"
"43","Chris Conley (JAC)","90","15.7","47","775","16.5","13","5","0","0","0","0","16","156.5","9.8","0.0%"
"44","Randall Cobb (DAL)","83","14.2","55","828","15.1","15","3","3","11","0","1","15","154.9","10.3","2.6%"
"45","Golden Tate (NYG)","85","14.5","49","676","13.8","10","6","1","16","0","1","11","152.2","13.8","1.0%"
"46","Hollywood Brown (BAL)","71","16.8","46","584","12.7","8","7","0","0","0","0","14","146.4","10.5","9.4%"
"47","Tyrell Williams (OAK)","64","12.8","42","651","15.5","12","6","0","0","0","0","14","143.1","10.2","0.0%"
"48","Sterling Shepard (NYG)","83","14","57","576","10.1","8","3","6","72","0","0","10","141.8","14.2","1.0%"
"49","Danny Amendola (DET)","97","17.7","62","678","10.9","6","1","0","0","0","0","15","140.6","9.4","0.0%"
"50","Sammy Watkins (KC)","90","16","52","673","12.9","9","3","2","12","0","1","14","138.5","9.9","0.0%"
"51","Breshad Perriman (TB)","69","11.5","36","645","17.9","15","6","2","16","0","0","14","138.1","9.9","0.0%"
"52","Zach Pascal (IND)","72","14.5","41","607","14.8","11","5","2","16","0","0","16","135.3","8.5","0.0%"
"53","William Fuller V (HOU)","71","13.9","49","670","13.7","10","3","0","0","0","0","11","134.0","12.2","0.0%"
"54","Hunter Renfrow (OAK)","71","14.2","49","605","12.3","7","4","0","0","0","0","13","133.5","10.3","1.5%"
"54","James Washington (PIT)","80","16.1","44","735","16.7","13","3","0","0","0","1","15","133.5","8.9","0.0%"
"56","Anthony Miller (CHI)","85","15.1","52","656","12.6","11","2","1","-1","0","1","16","127.5","8.0","0.0%"
"57","T.Y. Hilton (IND)","68","13.8","45","501","11.1","6","5","0","0","0","0","10","125.1","12.5","1.6%"
"58","Mohamed Sanu Sr. (NE)","89","14.7","59","520","8.8","3","2","3","11","0","0","15","124.1","8.3","0.0%"
"59","Alshon Jeffery (PHI)","73","12","43","490","11.4","6","4","1","2","1","0","10","122.2","12.2","0.0%"
"60","Kenny Stills (HOU)","55","10.9","40","561","14.0","9","4","0","0","0","0","13","120.1","9.2","0.0%"
"61","Mecole Hardman Jr. (KC)","41","7.5","26","538","20.7","9","6","4","17","0","2","16","119.5","7.5","0.6%"
"62","Brandin Cooks (LAR)","72","11.9","42","583","13.9","9","2","6","52","0","0","14","117.5","8.4","0.7%"
"63","Corey Davis (TEN)","69","16.2","43","601","14.0","10","2","0","0","0","0","15","115.1","7.7","0.0%"
"64","Adam Thielen (MIN)","48","10.9","30","418","13.9","8","6","4","6","1","0","10","114.4","11.4","3.5%"
"65","JuJu Smith-Schuster (PIT)","70","14.1","42","552","13.1","7","3","0","0","0","1","12","113.2","9.4","0.8%"
"66","Steven Sims Jr. (WAS)","56","12","34","310","9.1","2","4","9","85","1","0","16","109.5","6.8","0.0%"
"67","Allen Lazard (GB)","52","9.7","35","477","13.6","6","3","1","21","0","0","16","102.8","6.4","0.7%"
"68","Auden Tate (CIN)","80","13.5","40","575","14.4","8","1","0","0","0","1","13","101.5","7.8","0.0%"
"69","Demarcus Robinson (KC)","55","10.1","32","449","14.0","7","4","0","0","0","0","16","100.9","6.3","1.0%"
"70","Phillip Dorsett II (NE)","54","9.2","29","397","13.7","6","5","3","21","0","0","14","100.8","7.2","0.1%"
"71","Russell Gage Jr. (ATL)","74","11.4","49","446","9.1","0","1","4","12","0","1","16","98.8","6.2","0.0%"
"72","Kendrick Bourne (SF)","44","9.2","30","358","11.9","4","5","0","0","0","0","16","97.8","6.1","3.6%"
"73","Alex Erickson (CIN)","78","13.4","43","529","12.3","5","0","5","33","0","2","16","96.2","6.0","0.0%"
"74","Willie Snead IV (BAL)","46","10.8","31","339","10.9","4","5","2","2","0","0","16","95.1","5.9","0.0%"
"75","John Ross (CIN)","56","9.5","28","506","18.1","10","3","3","4","0","1","8","95.0","11.9","0.1%"
"76","Nelson Agholor (PHI)","69","11.5","39","363","9.3","5","3","2","7","0","1","11","94.0","8.5","1.0%"
"77","Preston Williams (MIA)","60","10","32","428","13.4","6","3","0","0","0","1","8","90.8","11.4","0.0%"
"78","Taylor Gabriel (CHI)","48","8.6","29","353","12.2","4","4","3","20","0","0","9","90.3","10.0","0.1%"
"79","Albert Wilson (MIA)","62","10.2","43","351","8.2","4","1","5","45","0","0","13","89.4","6.9","0.0%"
"80","Adam Humphries (TEN)","47","10.9","37","374","10.1","4","2","1","1","0","0","12","86.5","7.2","0.0%"
"81","Ted Ginn Jr. (NO)","56","10.2","30","421","14.0","7","2","3","18","0","0","16","85.9","5.4","0.0%"
"82","Demaryius Thomas (NYJ)","58","11.6","36","433","12.0","4","1","0","0","0","0","11","85.3","7.8","0.1%"
"83","Marquez Valdes-Scantling (GB)","56","10.5","26","452","17.4","7","2","2","9","0","0","16","84.1","5.3","0.7%"
"84","Allen Hurns (MIA)","47","7.8","32","416","13.0","4","2","0","0","0","1","14","83.6","6.0","0.0%"
"85","Tajae Sharpe (TEN)","35","8.2","25","329","13.2","4","4","0","0","0","0","15","81.9","5.5","0.0%"
"86","Bisi Johnson (MIN)","45","10.2","31","294","9.5","1","3","1","6","0","0","16","79.0","4.9","0.0%"
"87","Keelan Cole Sr. (JAC)","36","6.7","24","361","15.0","5","3","1","6","0","0","16","78.7","4.9","0.0%"
"88","Geronimo Allison (GB)","55","10.2","34","287","8.4","3","2","1","7","0","1","16","75.4","4.7","0.0%"
"89","Josh Gordon (SEA)","47","8.5","27","426","15.8","8","1","1","1","0","0","11","74.7","6.8","0.1%"
"90","Damiere Byrd (ARI)","46","8.7","32","359","11.2","3","1","0","0","0","1","11","71.9","6.5","0.0%"
"91","Tre'Quan Smith (NO)","25","4.6","18","234","13.0","3","5","0","0","0","0","11","71.4","6.5","0.0%"
"92","Kelvin Harmon (WAS)","44","9.4","30","365","12.2","8","0","0","0","0","0","16","66.9","4.2","0.0%"
"93","Cody Latimer (NYG)","42","7.1","24","300","12.5","4","2","0","0","0","0","15","66.0","4.4","0.0%"
"94","Paul Richardson Jr. (WAS)","42","9","28","245","8.8","1","2","1","0","0","0","10","64.5","6.5","0.0%"
"95","DaeSean Hamilton (DEN)","52","10.5","28","297","10.6","4","1","0","0","0","0","16","63.7","4.0","0.0%"
"96","Isaiah McKenzie (BUF)","39","7.8","27","254","9.4","3","1","8","49","0","0","15","63.3","4.2","0.0%"
