"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","TGT","REC","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Jonathan Taylor (IND)","332","1,811","5.5","83","14","18","51","40","360","9.0","2","2","17","373.1","21.9","99.1%"
"2","Austin Ekeler (LAC)","206","911","4.4","28","3","12","94","70","647","9.2","8","3","16","343.8","21.5","2.6%"
"3","Najee Harris (PIT)","307","1,200","3.9","37","6","7","94","74","467","6.3","3","0","17","300.7","17.7","14.8%"
"4","Joe Mixon (CIN)","292","1,205","4.1","32","6","13","48","42","314","7.5","3","1","16","287.9","18.0","15.1%"
"5","James Conner (ARI)","202","752","3.7","35","3","15","39","37","375","10.1","3","0","15","257.7","17.2","37.7%"
"6","Leonard Fournette (TB)","180","812","4.5","47","5","8","84","69","454","6.6","2","0","14","255.6","18.3","0.1%"
"7","Ezekiel Elliott (DAL)","237","1,002","4.2","47","3","10","65","47","287","6.1","2","1","17","252.1","14.8","1.5%"
"8","Alvin Kamara (NO)","240","898","3.7","30","3","4","67","47","439","9.3","5","0","13","234.7","18.1","56.7%"
"9","Cordarrelle Patterson (ATL)","153","618","4.0","39","2","6","69","52","548","10.5","5","0","16","234.6","14.7","1.0%"
"10","Antonio Gibson (WAS)","258","1,037","4.0","27","4","7","52","42","294","7.0","3","4","16","229.1","14.3","0.8%"
"11","Aaron Jones Sr. (GB)","171","799","4.7","57","5","4","65","52","391","7.5","6","1","15","229.0","15.3","87.5%"
"12","Josh Jacobs (LV)","217","872","4.0","28","2","9","64","54","348","6.4","0","2","15","226.0","15.1","98.5%"
"13","Nick Chubb (CLE)","228","1,259","5.5","70","12","8","25","20","174","8.7","1","1","14","215.3","15.4","1.4%"
"14","Damien Harris (NE)","203","929","4.6","64","8","15","21","18","132","7.3","0","2","15","210.1","14.0","9.0%"
"15","D'Andre Swift (DET)","151","617","4.1","57","3","5","78","62","452","7.3","2","1","13","208.9","16.1","93.7%"
"16","Dalvin Cook (MIN)","249","1,159","4.7","66","9","6","49","34","224","6.6","0","2","13","206.3","15.9","0.6%"
"17","Javonte Williams (DEN)","203","903","4.4","49","6","4","53","43","316","7.3","3","1","17","204.9","12.1","97.1%"
"18","Devin Singletary (BUF)","188","870","4.6","46","6","7","50","40","228","5.7","1","0","17","197.8","11.6","2.9%"
"19","David Montgomery (CHI)","225","849","3.8","41","5","7","51","42","301","7.2","0","1","14","196.0","14.0","93.6%"
"19","Darrel Williams (KC)","144","558","3.9","21","1","6","57","47","452","9.6","2","0","17","196.0","11.5","0.0%"
"21","Melvin Gordon III (DEN)","203","918","4.5","70","3","8","38","28","213","7.6","2","3","16","195.1","12.2","0.0%"
"22","Derrick Henry (TEN)","219","937","4.3","76","3","10","20","18","154","8.6","0","0","8","193.3","24.2","98.7%"
"23","AJ Dillon (GB)","187","803","4.3","36","2","5","37","34","313","9.2","2","1","17","185.6","10.9","0.6%"
"24","James Robinson (JAC)","164","767","4.7","58","4","8","46","31","222","7.2","0","2","14","173.9","12.4","0.0%"
"25","Myles Gaskin (MIA)","173","612","3.5","30","2","3","63","49","234","4.8","4","1","17","173.6","10.2","0.0%"
"26","Elijah Mitchell (SF)","207","963","4.7","39","6","5","20","19","137","7.2","1","0","12","165.0","13.8","0.7%"
"27","Darrell Henderson Jr. (LAR)","149","688","4.6","29","1","5","40","29","176","6.1","3","0","12","163.4","13.6","0.0%"
