"Rank","Player","TGT","TGT %","REC","YDS","Y/R","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Mark Andrews (BAL)","153","25.9","107","1,361","12.7","20","9","1","0","0","0","17","301.1","17.7","85.5%"
"2","Travis Kelce (KC)","134","21.1","92","1,125","12.2","13","9","2","3","1","1","16","262.8","16.4","91.9%"
"3","Dalton Schultz (DAL)","104","16.5","78","808","10.4","6","8","0","0","0","0","17","208.8","12.3","36.1%"
"4","George Kittle (SF)","94","18.8","71","910","12.8","13","6","3","20","0","1","14","198.0","14.1","92.0%"
"5","Zach Ertz (ARI)","112","21","74","763","10.3","7","5","1","4","0","0","17","180.7","10.6","3.8%"
"6","Kyle Pitts Sr. (ATL)","110","19.9","68","1,026","15.1","16","1","0","0","0","0","17","176.6","10.4","96.0%"
"7","Rob Gronkowski (TB)","89","12.4","55","802","14.6","16","6","0","0","0","0","12","171.2","14.3","1.3%"
"8","Mike Gesicki (MIA)","112","18.7","73","780","10.7","12","2","0","0","0","0","17","165.0","9.7","17.7%"
"8","Dallas Goedert (PHI)","76","16.3","56","830","14.8","14","4","0","0","0","0","15","165.0","11.0","89.9%"
"10","Hunter Henry (NE)","75","14.5","50","603","12.1","8","9","0","0","0","0","16","164.3","10.3","64.6%"
"11","Dawson Knox (BUF)","71","11.4","49","587","12.0","8","9","0","4","0","0","15","164.1","10.9","10.4%"
"12","Noah Fant (DEN)","90","17.8","68","670","9.9","7","4","0","0","0","0","16","159.0","9.9","3.6%"
"13","Pat Freiermuth (PIT)","79","12.3","60","497","8.3","2","7","0","0","0","1","16","151.7","9.5","23.9%"
"14","Tyler Higbee (LAR)","85","14","61","560","9.2","3","5","0","0","0","0","15","147.0","9.8","5.2%"
"15","T.J. Hockenson (DET)","84","15","61","583","9.6","8","4","0","0","0","0","12","145.3","12.1","61.2%"
"16","Tyler Conklin (MIN)","87","15.1","61","593","9.7","4","3","0","0","0","0","17","138.3","8.1","0.8%"
"17","Darren Waller (LV)","93","15.5","55","665","12.1","13","2","0","0","0","0","11","133.5","12.1","4.1%"
"18","Jared Cook (LAC)","83","13.1","48","564","11.8","7","4","0","0","0","0","16","132.4","8.3","0.0%"
"19","C.J. Uzomah (CIN)","63","11.8","49","493","10.1","7","5","0","0","0","0","16","128.3","8.0","0.0%"
