"Rank","Player","SACK","INT","FR","FF","DEF TD","SFTY","SPC TD","G","FPTS","FPTS/G","ROST"
"1","New England Patriots (NE)","54","19","11","14","7","0","1","17","186.0","10.9","80.6%"
"2","Dallas Cowboys (DAL)","54","16","17","20","3","0","0","17","170.0","10.0","19.4%"
"3","San Francisco 49ers (SF)","44","20","10","13","3","0","0","17","164.0","9.6","27.8%"
"4","Philadelphia Eagles (PHI)","70","17","10","15","2","0","0","17","154.0","9.1","82.1%"
"5","Buffalo Bills (BUF)","40","17","10","10","1","2","2","17","152.0","8.9","32.8%"
"6","Jacksonville Jaguars (JAC)","35","14","13","16","4","0","0","17","139.0","8.2","65.4%"
"7","Baltimore Ravens (BAL)","48","14","11","14","0","0","1","17","134.0","7.9","46.5%"
"8","Kansas City Chiefs (KC)","55","11","9","11","2","1","0","17","121.0","7.1","27.4%"
"9","Washington Commanders (WAS)","43","9","9","7","3","1","0","17","120.0","7.1","18.0%"
"10","New York Jets (NYJ)","45","12","4","9","0","2","1","17","118.0","6.9","8.2%"
"11","Seattle Seahawks (SEA)","45","14","11","15","1","0","1","17","117.0","6.9","95.5%"
"11","Green Bay Packers (GB)","34","17","7","11","2","1","1","17","117.0","6.9","33.6%"
"13","Houston Texans (HOU)","39","16","11","10","1","1","0","17","116.0","6.8","94.8%"
"13","Indianapolis Colts (IND)","44","10","11","13","2","0","1","17","116.0","6.8","20.5%"
"15","Cincinnati Bengals (CIN)","30","13","11","13","1","0","0","17","112.0","6.6","5.2%"
"15","Carolina Panthers (CAR)","35","10","7","7","3","0","0","17","112.0","6.6","7.8%"
"15","New Orleans Saints (NO)","48","7","7","11","1","0","0","17","112.0","6.6","22.4%"
"18","Cleveland Browns (CLE)","34","11","9","10","3","0","1","17","110.0","6.5","33.6%"
"19","New York Giants (NYG)","41","6","13","18","2","0","0","17","108.0","6.4","28.3%"
"20","Pittsburgh Steelers (PIT)","40","20","3","9","1","0","0","17","107.0","6.3","66.0%"
"21","Minnesota Vikings (MIN)","38","15","10","10","1","0","1","17","106.0","6.2","62.3%"
"22","Los Angeles Rams (LAR)","38","16","6","9","1","0","0","17","105.0","6.2","76.5%"
"23","Arizona Cardinals (ARI)","37","11","9","11","5","0","0","17","104.0","6.1","6.0%"
"24","Tampa Bay Buccaneers (TB)","44","10","10","14","1","0","0","17","103.0","6.1","22.4%"
"24","Los Angeles Chargers (LAC)","40","14","10","13","1","1","0","17","103.0","6.1","49.2%"
"26","Denver Broncos (DEN)","36","15","8","14","0","1","0","17","102.0","6.0","93.0%"
"27","Miami Dolphins (MIA)","40","8","6","14","2","1","1","17","101.0","5.9","10.2%"
"28","Detroit Lions (DET)","39","12","10","12","1","1","1","17","99.0","5.8","43.4%"
"29","Tennessee Titans (TEN)","39","14","6","11","1","0","0","17","98.0","5.8","13.0%"
"30","Atlanta Falcons (ATL)","21","10","7","8","2","1","2","17","89.0","5.2","16.1%"
"31","Las Vegas Raiders (LV)","27","6","7","10","3","0","0","17","77.0","4.5","11.6%"
"32","Chicago Bears (CHI)","20","14","9","10","0","0","0","17","62.0","3.6","16.7%"
""
""
