,RECEIVING,,,MISC,,,,
Player,REC,YDS,TDS,FL,FPTS,,,
Trey McBride ARI,113.4,"1,074.10",6.8,0.2,147.6,,,
Brock Bowers LV,93.2,993.6,7.8,0.2,145.7,,,
Colston Loveland CHI,80.4,948.9,7,0.2,136.6,,,
Tyler Warren IND,85.3,888.3,5.6,0.3,121.8,,,
Dallas Goedert PHI,69.2,719.9,8.3,0.2,121.5,,,
Kyle Pitts Sr. ATL,81.2,896.1,5.1,0.1,119.9,,,
Tucker Kraft GB,59.5,772,7,0.2,118.7,,,
Sam LaPorta DET,75.1,846.9,5.7,0.2,118.4,,,
Harold Fannin Jr. CLE,79.5,822.9,5.6,0.8,114.2,,,
Isaiah Likely NYG,66.4,791.7,5.6,1.3,110.2,,,
Travis Kelce KC,75.8,789.3,5.2,0.3,109.6,,,
Dalton Kincaid BUF,59.1,729.7,5.7,0.2,106.8,,,
Mark Andrews BAL,57,588.9,8.1,0.3,106.7,,,
George Kittle SF,63.3,719.6,5.6,0.1,105.2,,,
Hunter Henry NE,56.9,665.6,5.6,0.1,99.9,,,
Jake Ferguson DAL,75.7,618,6.4,1.4,97.5,,,
Brenton Strange JAC,64.5,701.1,4.5,0.2,96.6,,,
Juwan Johnson NO,66.7,751.4,3.4,1.3,92.7,,,
Kenyon Sadiq NYJ,56.9,609.7,5.2,0.7,90.5,,,
Dalton Schultz HOU,65.8,622.1,3.6,0.2,83.1,,,
Pat Freiermuth PIT,52.9,558.4,3.9,0.2,78.7,,,
Cade Otton TB,57.6,592.5,3.2,0.1,78.4,,,
T.J. Hockenson MIN,65.8,577,3.4,0.2,77.8,,,
Oronde Gadsden II LAC,47.2,587.3,3.4,0.7,77.6,,,
Terrance Ferguson LAR,34.2,507.6,4.5,0.1,77.5,,,
AJ Barner SEA,45.9,452.2,5.3,0.2,76.6,,,
Greg Dulcich MIA,53.5,606.8,2.8,1.2,74.8,,,
Chig Okonkwo WAS,52.4,576.4,2.6,0.1,73,,,
Mike Gesicki CIN,44.6,466.7,3.8,0.1,69.2,,,
David Njoku LAC,37.3,370.8,4.6,0.1,64.2,,,
Evan Engram DEN,51.7,466.2,2.6,0.1,61.9,,,
Colby Parkinson LAR,34.5,366.1,4.3,0.6,61.4,,,
Gunnar Helm TEN,49.9,425.4,3.2,0.2,61.1,,,
Theo Johnson NYG,29.5,332,3.3,0.1,53,,,
Dawson Knox BUF,30,328.5,2.9,0.1,50,,,
Mason Taylor NYJ,41.7,346.1,2.6,0.1,49.9,,,
Tyler Higbee LAR,27.6,326.7,2.6,0,48.4,,,
Michael Mayer LV,38.4,355.9,1.7,0.1,45.3,,,
Darnell Washington PIT,33,345.6,1.9,0.6,44.9,,,
Ja'Tavion Sanders CAR,32.4,266.7,2,0.1,38.7,,,
Tommy Tremble CAR,27.3,256,2,0.1,37.1,,,
Noah Fant NO,32.1,300.4,1.5,1.6,35.8,,,
Will Kacmarek MIA,26.7,250.9,1.9,0.6,35.2,,,
Josh Oliver MIN,19.3,196.4,2.6,0.1,34.9,,,
Charlie Kolar LAC,16.2,203.2,2.3,0,34,,,
Cole Kmet CHI,21.3,220.1,1.8,0.1,33,,,
Erick All Jr. CIN,26.1,228.3,1.6,0.1,32.4,,,
Daniel Bellinger TEN,18.8,212.7,1.7,0,31.6,,,
Austin Hooper ATL,22.8,232.6,1.4,0.1,31.6,,,
Brock Wright DET,19.4,175.1,2.3,0,31.3,,,
Eli Stowers PHI,22.7,231.8,1.5,0.6,31.1,,,
Adam Trautman DEN,19.4,194.5,1.5,0,28.3,,,
Luke Musgrave GB,20.5,200.2,1.4,0.1,28,,,
Eli Raridon NE,18.8,195.8,1.5,0.6,27.7,,,
Ben Sims MIA,21.3,200.7,1.2,0,27.4,,,
Jake Tonges SF,18.5,180.3,1.5,0.1,27,,,
Noah Gray KC,20.5,199.5,1.2,0.1,27,,,
Elijah Arroyo SEA,17,190,1.4,0.1,27,,,
Davis Allen LAR,16.9,157.3,1.9,0,26.9,,,
John Bates WAS,18.4,173.7,1.6,0.6,25.5,,,
Marlin Klein HOU,19.5,193.7,1.1,0.5,25,,,
Elijah Higgins ARI,21.9,196.2,0.8,0.6,23.5,,,
Nick Vannett LAR,11,103,2,0,22.3,,,
Connor Heyward LV,14,103,2,0,22.3,,,
Nate Boerkircher JAC,14.4,155.3,1.3,0.5,22.2,,,
Jeremy Ruckert NYJ,19.7,145.8,1.3,0,22.1,,,
Drew Sample CIN,17.3,146.2,1.2,0.1,21.3,,,
Jackson Hawes BUF,10.5,115.1,1.4,0,20.1,,,
Grant Calcaterra PHI,12.8,132.5,1.1,0,20,,,
Ben Sinnott WAS,11.8,116.3,1.4,0,19.9,,,
Nate Adkins DEN,11.9,88.3,1.8,0,19.8,,,
Mitchell Evans CAR,15,136.5,1,0.1,19.4,,,
Will Mallory IND,11,126,1,0,18.6,,,
Jack Endries CIN,13,123,1,0,18.3,,,
Foster Moreau HOU,9.3,105.7,1.3,0,18.3,,,
Cade Stover HOU,15.3,128.1,0.9,0.1,17.9,,,
Luke Schoonmaker DAL,13.2,121.7,0.9,0,17.8,,,
Bauer Sharp TB,11,112,1,0,17.2,,,
Rivaldo Fairweather ARI,12,109,1,0,16.9,,,
Zaire Mitchell-Paden NO,11,107,1,0,16.7,,,
Justin Joly DEN,12,105,1,0,16.5,,,
Charlie Woerner ATL,14.5,127.4,0.6,0,16.3,,,
Tanner Hudson CIN,13.1,110.2,0.9,0.1,16.1,,,
Mo Alie-Cox IND,10.9,110.7,0.9,0.1,16.1,,,
Thomas Fidone II NYG,10,101,1,0,16.1,,,
Cam Grandy CIN,13,100,1,0,16,,,
Jared Wiley KC,11,95,1,0,15.5,,,
Jaren Kanak TEN,10,91,1,0,15.1,,,
Josh Whyle GB,9,86,1,0,14.6,,,
Devin Culp TB,7.3,76.2,1.2,0,14.5,,,
Durham Smythe BAL,9.8,94.1,0.7,0.1,13.7,,,
Payne Durham TB,7.6,80.9,0.8,0,12.9,,,
Max Klare LAR,7.5,82.6,0.7,0,12.3,,,
Brevyn Spann-Ford DAL,7.4,71.4,0.7,0,11.1,,,
Sam Roush CHI,6.8,70.9,0.6,0,10.9,,,
Hunter Long JAC,5,44.5,1,0,10.5,,,
Lucas Krull DEN,8,62.2,0.6,0,10,,,
Tip Reiman ARI,7.9,62.3,0.6,0,9.8,,,
Ian Thomas LV,6.9,61.9,0.6,0,9.6,,,
Blake Whiteheart CLE,7.1,62.7,0.3,0.1,8.2,,,
Luke Farrell SF,5.2,50.1,0.4,0,7.2,,,
Tanner Koziol JAC,3.9,36.6,0.3,0,5.3,,,
Josh Cuevas BAL,3.3,35.8,0.3,0,5.3,,,
CJ Dippre NE,3.8,35.6,0.3,0,5.2,,,
Tyler Conklin DET,3.7,38,0.3,0,5.2,,,
Eric Saubert SEA,3.4,34.4,0.3,0,5.2,,,
Oscar Delp NO,3.9,36.5,0.2,0,5,,,
Drew Ogletree IND,3.7,35.3,0.3,0,5,,,
Joe Royer CLE,3.8,33.5,0.2,0,4.3,,,
Riley Nowakowski PIT,4.3,29,0.2,0,3.8,,,
Chris Manhertz NYG,1.8,16.3,0.1,0,2.3,,,
Johnny Mundt PHI,0,0,0,0,0,,,
Quintin Morris JAC,0,0,0,0,0,,,
Jack Stoll CLE,0,0,0,0,0,,,
Cole Turner MIA,0,0,0,0,0,,,
Jelani Woods NYJ,0,0,0,0,0,,,
Julian Hill NE,0,0,0,0,0,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
