,PASSING,,,,,Rushing,,,MISC,
Player,ATT,CMP,YDS,TDS,INTS,ATT,YDS,TDS,FL,FPTS
Josh Allen BUF,497.9,337.1,"3,826.00",28.1,12.3,120.7,594.8,11.7,4.1,374.7
Jayden Daniels WAS,495.2,321.7,"3,660.70",24.7,11,135.5,707.4,5.1,2.8,329.6
Drake Maye NE,503.3,345,"4,024.10",28,11.1,102.5,541.3,4,5.6,328.9
Lamar Jackson BAL,436,285.4,"3,621.80",29.5,10.4,114.1,636.2,3.3,4.2,327.6
Jalen Hurts PHI,485.1,314.8,"3,575.60",24.8,7.6,112.1,463.9,8.6,4,324.3
Jaxson Dart NYG,506.3,321.6,"3,602.00",23.5,12.1,99.9,542.1,6.8,2.9,314.9
Joe Burrow CIN,594.7,397.2,"4,191.20",34,12.5,41.9,177,1.5,1.9,314.1
Brock Purdy SF,543.8,366,"4,149.90",28,14.9,73.2,313.1,4.3,4.3,311.7
Dak Prescott DAL,584.9,386.4,"4,274.60",31.3,12,51.1,179.5,2.1,2.8,309.1
Trevor Lawrence JAC,547.7,335.1,"3,863.90",27.4,14,75.2,331.2,5.4,3.4,308.8
Patrick Mahomes II KC,558.1,355,"3,830.30",27.6,12.3,62,381.7,3.6,2,306.9
Justin Herbert LAC,527.4,348.2,"3,810.10",26.8,12,80.7,474.5,2.1,2.8,302.1
Caleb Williams CHI,552.7,322.8,"3,802.90",27.1,10,74.6,391.4,2.1,3,296.6
Matthew Stafford LAR,548.4,349.6,"4,164.50",34.5,8.3,27,38.7,0.3,2.8,296.2
Bo Nix DEN,569.9,363.9,"3,693.00",26.7,10.6,77.6,330.7,3.5,2,293.6
Daniel Jones IND,530.9,346.4,"3,854.90",25.3,11.6,63.5,239.7,5,3.8,290
Baker Mayfield TB,539.9,346.3,"3,880.30",26.8,13.3,56.5,359.6,1.7,3.7,288
Jared Goff DET,534.1,368.7,"4,219.50",31.5,10,24.1,46.7,0.3,3.7,284
Tyler Shough NO,551.7,363.2,"3,941.50",22.1,12.6,70.3,305.6,4.1,3.6,281.7
Kyler Murray MIN,484.2,318.8,"3,372.60",23.2,15.5,77,467.2,3.6,3.8,272.9
Malik Willis MIA,486.4,320,"3,340.30",19,13.8,125.1,633.2,4.2,6.2,272.2
C.J. Stroud HOU,561.5,351.6,"3,939.00",24.7,12,56,249,1,3.5,268.4
Jordan Love GB,501.7,325,"3,835.60",27,10.4,47.7,199.9,0.5,3,267.9
Sam Darnold SEA,504.4,336.1,"4,064.80",28,12.7,46,134.7,0.4,5.3,267.4
Bryce Young CAR,514.6,323.2,"3,370.60",21.2,14.1,59.9,269.7,2.6,3,241.8
Jacoby Brissett ARI,551.3,352,"3,564.50",20,10.6,51.6,233.7,1.7,4.8,235.7
