"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Puka Nacua","LAR","117.0","1539.0","9.0","13.6","85.0","1.4","1.0","339.8"
"Ja'Marr Chase","CIN","121.2","1511.6","10.6","3.0","17.0","0.0","1.0","336.0"
"Jaxon Smith-Njigba","SEA","110.9","1569.4","9.2","5.5","30.4","0.1","1.1","324.1"
"Amon-Ra St. Brown","DET","117.4","1390.2","10.5","3.1","11.8","0.0","0.4","319.8"
"Drake London","ATL","101.7","1327.6","9.1","0.0","0.0","0.0","1.0","287.1"
"Rashee Rice","KC","99.1","1100.6","9.7","5.4","25.6","0.9","0.6","274.0"
"CeeDee Lamb","DAL","97.5","1295.8","7.5","2.4","12.6","0.0","0.3","273.0"
"Justin Jefferson","MIN","98.6","1310.9","7.1","1.3","5.5","0.0","0.3","272.5"
"Chris Olave","NO","95.4","1195.5","7.9","0.3","0.0","0.0","0.3","261.7"
"A.J. Brown","NE","87.7","1221.7","7.7","0.0","0.0","0.0","0.3","255.2"
"Nico Collins","HOU","82.6","1229.9","7.6","1.4","8.3","0.4","0.8","252.4"
"George Pickens","DAL","82.5","1200.5","8.4","0.3","0.0","0.0","0.4","252.0"
"Garrett Wilson","NYJ","96.3","1095.4","6.4","1.1","4.3","0.0","1.0","242.9"
"Zay Flowers","BAL","81.2","1157.5","6.5","9.9","58.8","0.5","1.5","241.8"
"Malik Nabers","NYG","81.0","1083.5","8.4","2.8","8.3","0.1","0.4","240.3"
"DeVonta Smith","PHI","87.8","1135.0","6.0","0.0","0.0","0.0","0.3","236.9"
"Tetairoa McMillan","CAR","81.2","1146.0","6.6","0.0","0.0","0.0","0.9","233.7"
"Emeka Egbuka","TB","73.2","1098.4","7.5","1.4","7.3","0.0","0.3","228.3"
"Davante Adams","LAR","68.8","926.2","10.2","0.0","0.0","0.0","0.2","222.3"
"Tee Higgins","CIN","70.8","965.4","9.1","0.0","0.0","0.0","0.2","221.7"
"Ladd McConkey","LAC","79.2","1010.1","6.8","0.0","0.0","0.0","0.3","220.3"
"Jameson Williams","DET","64.4","1065.1","6.6","7.3","42.0","0.5","0.2","217.2"
"Jaylen Waddle","DEN","74.2","992.2","6.0","1.7","12.4","0.0","0.3","210.2"
"Terry McLaurin","WAS","69.0","972.8","7.4","0.3","0.3","0.0","0.3","209.9"
"DJ Moore","BUF","69.4","905.1","7.0","10.3","54.0","0.5","0.8","208.5"
"Luther Burden III","CHI","72.7","973.1","5.7","7.7","38.2","0.1","0.3","208.1"
"Rome Odunze","CHI","62.4","963.3","7.8","0.3","1.3","0.0","0.3","205.1"
"Mike Evans","SF","67.4","950.7","7.0","0.0","0.0","0.0","0.2","203.8"
"Courtland Sutton","DEN","67.4","884.7","7.2","0.0","0.0","0.0","0.2","198.6"
"Marvin Harrison Jr.","ARI","67.3","945.4","6.0","0.0","0.0","0.0","0.3","197.3"
"Christian Watson","GB","57.6","930.4","7.3","1.7","8.0","0.0","0.3","195.2"
"DK Metcalf","PIT","64.3","926.8","6.1","0.7","3.3","0.3","0.2","195.2"
"Alec Pierce","IND","56.5","977.3","6.4","0.0","0.0","0.0","0.3","192.3"
"Michael Pittman Jr.","PIT","80.5","806.1","5.0","0.0","0.0","0.0","0.3","190.3"
"Parker Washington","JAC","62.6","863.2","5.7","5.0","13.6","0.1","0.4","184.4"
"Brian Thomas Jr.","JAC","58.0","871.6","5.4","2.7","17.7","0.4","0.2","181.1"
"Wan'Dale Robinson","TEN","79.9","805.6","3.0","2.0","9.5","0.1","0.3","179.1"
"Jakobi Meyers","JAC","68.3","787.7","5.1","4.3","22.7","0.1","0.8","178.7"
"Carnell Tate","TEN","65.2","887.2","4.5","0.7","3.0","0.0","1.4","178.4"
"Michael Wilson","ARI","67.5","826.4","4.5","0.0","0.7","0.0","0.2","176.6"
"Jayden Reed","GB","63.1","757.7","4.8","12.0","86.9","0.1","0.4","176.3"
"Chris Godwin Jr.","TB","67.8","773.9","5.2","0.3","0.3","0.0","0.3","175.7"
"Quentin Johnston","LAC","53.6","757.0","6.9","1.7","5.9","0.0","0.7","169.9"
"Jordan Addison","MIN","55.2","758.4","5.4","2.7","37.1","0.4","0.2","168.9"
"Deebo Samuel Sr.","SF","58.3","666.2","4.5","29.1","111.7","1.1","0.4","168.8"
"Xavier Worthy","KC","55.2","722.7","4.2","15.5","99.4","0.9","0.2","167.5"
"Stefon Diggs","WAS","67.0","747.5","4.2","0.3","0.7","0.0","0.2","166.3"
