Rank,Player (Bye),POS,AVG
1,Jahmyr Gibbs   DET (6),RB1,1
2,Bijan Robinson   ATL (11),RB2,2
3,Ja'Marr Chase   CIN (6),WR1,3
4,Puka Nacua   LAR (11),WR2,4
5,Christian McCaffrey   SF (8),RB3,5.6
6,Jaxon Smith-Njigba   SEA (11),WR3,5.8
7,Jonathan Taylor   IND (13),RB4,6.8
8,Amon-Ra St. Brown   DET (6),WR4,8
9,James Cook III   BUF (7),RB5,10.2
10,Ashton Jeanty   LV (13),RB6,11.4
11,De'Von Achane   MIA (6),RB7,11.4
12,CeeDee Lamb   DAL (14),WR5,12
13,Justin Jefferson   MIN (6),WR6,12.4
14,Saquon Barkley   PHI (10),RB8,14.2
15,Chase Brown   CIN (6),RB9,15
16,Drake London   ATL (11),WR7,17.8
17,Derrick Henry   BAL (13),RB10,18
18,Omarion Hampton   LAC (7),RB11,18.2
19,Kenneth Walker III   KC (5),RB12,18.4
20,A.J. Brown   NE (11),WR8,20.4
21,Trey McBride   ARI (14),TE1,21.6
22,Brock Bowers   LV (13),TE2,22.4
23,Josh Allen   BUF (7),QB1,24
24,George Pickens   DAL (14),WR9,24.2
25,Nico Collins   HOU (8),WR10,24.6
26,Rashee Rice   KC (5),WR11,26.2
27,Jeremiyah Love   ARI (14),RB13,27
28,Chris Olave   NO (8),WR12,27.4
29,Malik Nabers   NYG (8),WR13,28.4
30,Kyren Williams   LAR (11),RB14,29.8
31,Javonte Williams   DAL (14),RB15,31.2
32,Breece Hall   NYJ (13),RB16,31.6
33,Josh Jacobs   GB (11),RB17,32
34,DeVonta Smith   PHI (10),WR14,35
35,Zay Flowers   BAL (13),WR15,36.4
36,Cam Skattebo   NYG (8),RB18,38.2
37,Tetairoa McMillan   CAR (5),WR16,38.6
38,Emeka Egbuka   TB (10),WR17,39.4
39,Travis Etienne Jr.   NO (8),RB19,40.6
40,Garrett Wilson   NYJ (13),WR18,40.8
41,Tee Higgins   CIN (6),WR19,41.6
42,Lamar Jackson   BAL (13),QB2,41.8
43,Colston Loveland   CHI (10),TE3,43
44,Bucky Irving   TB (10),RB20,45.8
45,Ladd McConkey   LAC (7),WR20,46
46,Quinshon Judkins   CLE (11),RB21,46.4
47,D'Andre Swift   CHI (10),RB22,49.2
48,Jaylen Waddle   DEN (10),WR21,49.2
49,Davante Adams   LAR (11),WR22,50
50,Tyler Warren   IND (13),TE4,50
51,David Montgomery   HOU (8),RB23,50.4
52,DJ Moore   BUF (7),WR23,51.8
53,Drake Maye   NE (11),QB3,53
54,Luther Burden III   CHI (10),WR24,54.2
55,Terry McLaurin   WAS (7),WR25,54.2
56,Joe Burrow   CIN (6),QB4,54.6
