"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","TGT","REC","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Christian McCaffrey (CAR)","287","1,387","4.8","84","6","15","142","116","1,005","8.7","4","0","16","471.2","29.5","99.4%"
"2","Aaron Jones Sr. (GB)","236","1,084","4.6","56","5","16","68","49","474","9.7","3","2","16","314.8","19.7","87.5%"
"3","Ezekiel Elliott (DAL)","301","1,357","4.5","33","4","12","71","54","420","7.8","2","2","16","311.7","19.5","1.5%"
"4","Austin Ekeler (LAC)","132","557","4.2","35","4","3","108","92","993","10.8","8","2","16","309.0","19.3","2.6%"
"5","Derrick Henry (TEN)","303","1,540","5.1","74","9","16","24","18","206","11.4","2","3","15","294.6","19.6","98.7%"
"6","Dalvin Cook (MIN)","250","1,135","4.5","75","7","13","63","53","519","9.8","0","2","14","292.4","20.9","0.6%"
"7","Leonard Fournette (JAC)","265","1,152","4.3","81","7","3","100","76","522","6.9","0","1","15","259.4","17.3","0.1%"
"8","Nick Chubb (CLE)","298","1,494","5.0","88","11","8","49","36","278","7.7","0","3","16","255.2","16.0","1.4%"
"9","Alvin Kamara (NO)","171","797","4.7","40","5","5","97","81","533","6.6","1","1","14","248.5","17.8","56.7%"
"10","Saquon Barkley (NYG)","217","1,003","4.6","68","8","6","73","52","438","8.4","2","0","13","244.1","18.8","99.2%"
"11","Mark Ingram II (BAL)","202","1,018","5.0","53","6","10","29","26","247","9.5","5","2","15","242.5","16.2","2.1%"
"12","Chris Carson (SEA)","278","1,230","4.4","59","8","7","47","37","266","7.2","2","4","15","232.6","15.5","0.3%"
"13","Joe Mixon (CIN)","278","1,137","4.1","41","6","5","45","35","287","8.2","3","0","16","225.4","14.1","15.1%"
"14","Todd Gurley II (LAR)","223","857","3.8","25","5","12","49","31","207","6.7","2","2","15","219.4","14.6","0.6%"
"15","Miles Sanders (PHI)","179","818","4.6","65","5","3","63","50","509","10.2","3","1","16","218.7","13.7","0.7%"
"16","Le'Veon Bell (NYJ)","245","789","3.2","19","0","3","78","66","461","7.0","1","1","15","215.0","14.3","0.2%"
"17","Kenyan Drake (ARI)","170","817","4.8","80","4","8","68","50","345","6.9","0","1","14","214.2","15.3","1.1%"
"18","James White (NE)","67","263","3.9","32","1","1","95","72","645","9.0","5","1","15","200.2","13.3","0.1%"
"19","Phillip Lindsay (DEN)","224","1,011","4.5","40","7","7","48","35","196","5.6","0","0","16","197.7","12.4","0.0%"
"20","Devonta Freeman (ATL)","184","656","3.6","28","3","2","70","59","410","6.9","4","2","14","197.6","14.1","0.0%"
"21","Josh Jacobs (OAK)","242","1,150","4.8","51","8","7","27","20","166","8.3","0","1","13","191.6","14.7","98.5%"
"22","Marlon Mack (IND)","247","1,091","4.4","63","9","8","17","14","82","5.9","0","0","14","181.3","13.0","0.0%"
"23","Melvin Gordon III (LAC)","162","612","3.8","24","2","8","55","42","296","7.0","1","3","12","180.8","15.1","0.0%"
"24","David Montgomery (CHI)","242","889","3.7","55","3","6","35","25","185","7.4","1","2","16","170.4","10.7","93.6%"
"25","Ronald Jones II (TB)","172","724","4.2","49","6","6","40","31","309","10.0","0","2","16","166.3","10.4","0.0%"
"26","Raheem Mostert (SF)","137","772","5.6","41","3","8","22","14","180","12.9","2","2","16","165.2","10.3","0.7%"
"27","Tarik Cohen (CHI)","64","213","3.3","19","0","0","104","79","456","5.8","3","0","16","163.9","10.2","0.0%"
"28","Latavius Murray (NO)","146","637","4.4","30","3","5","43","34","235","6.9","1","0","16","157.2","9.8","0.0%"
"29","Duke Johnson Jr. (HOU)","83","410","4.9","40","3","2","62","44","410","9.3","3","1","16","154.0","9.6","0.0%"
"30","Carlos Hyde (HOU)","245","1,070","4.4","58","8","6","16","10","42","4.2","0","2","16","153.2","9.6","0.0%"
"31","Sony Michel (NE)","247","912","3.7","26","3","7","20","12","94","7.8","0","1","16","152.6","9.5","0.0%"
"32","Devin Singletary (BUF)","151","775","5.1","38","7","2","41","29","194","6.7","2","1","12","147.9","12.3","2.9%"
"33","Adrian Peterson (WAS)","211","898","4.3","32","6","5","23","17","142","8.4","0","2","16","147.0","9.2","1.9%"
"34","Jamaal Williams (GB)","107","456","4.3","45","1","1","45","39","253","6.5","5","0","14","145.9","10.4","2.0%"
"35","James Conner (PIT)","116","464","4.0","25","2","4","38","34","251","7.4","3","1","10","145.5","14.6","37.7%"
"36","Royce Freeman (DEN)","132","496","3.8","26","1","3","50","43","256","6.0","1","0","16","142.2","8.9","0.0%"
"37","David Johnson (ARI)","94","345","3.7","18","0","2","47","36","370","10.3","4","1","13","141.5","10.9","0.0%"
"38","Damien Williams (KC)","111","498","4.5","91","2","5","37","30","213","7.1","2","1","11","141.1","12.8","0.0%"
"39","Tevin Coleman (SF)","137","544","4.0","48","4","6","30","21","180","8.6","1","0","14","135.4","9.7","0.0%"
