"Rank","Player","TGT","TGT %","REC","YDS","Y/R","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Davante Adams (GB)","149","29.8","115","1,374","11.9","18","18","0","0","0","1","14","358.4","25.6","97.1%"
"2","Tyreek Hill (KC)","135","22.2","87","1,276","14.7","20","15","13","123","2","0","15","328.9","21.9","44.0%"
"3","Stefon Diggs (BUF)","166","29.3","127","1,535","12.1","20","8","1","1","0","0","16","328.6","20.5","51.8%"
"4","DeAndre Hopkins (ARI)","160","29.5","115","1,407","12.2","17","6","1","1","0","2","16","287.8","18.0","0.7%"
"5","Calvin Ridley (ATL)","143","23.9","90","1,374","15.3","23","9","5","1","0","1","15","281.5","18.8","33.0%"
"6","Justin Jefferson (MIN)","125","25.8","88","1,400","15.9","23","7","1","2","0","0","16","274.2","17.1","99.0%"
"7","DK Metcalf (SEA)","129","24","83","1,303","15.7","17","10","0","0","0","1","16","271.3","17.0","92.4%"
"8","Tyler Lockett (SEA)","132","24.4","100","1,054","10.5","10","10","0","0","0","0","16","265.4","16.6","0.7%"
"9","Allen Robinson II (CHI)","151","25.4","102","1,250","12.3","22","6","1","-1","0","0","16","262.9","16.4","1.4%"
"10","Adam Thielen (MIN)","108","22.1","74","925","12.5","11","14","3","15","0","0","15","254.0","16.9","3.5%"
"11","Mike Evans (TB)","109","18.2","70","1,006","14.4","20","13","0","0","0","0","16","248.6","15.5","93.4%"
"12","A.J. Brown (TEN)","106","22.7","70","1,075","15.4","13","11","0","0","0","1","14","247.5","17.7","98.6%"
"13","Robert Woods (LAR)","129","22.9","90","936","10.4","11","6","24","155","2","1","16","245.1","15.3","1.2%"
"13","Keenan Allen (LAC)","147","23.9","100","992","9.9","10","8","1","-1","0","2","14","245.1","17.5","12.2%"
"15","Amari Cooper (DAL)","130","21.3","92","1,114","12.1","13","5","6","14","0","0","16","236.8","14.8","1.1%"
"16","JuJu Smith-Schuster (PIT)","128","19.6","97","831","8.6","13","9","0","0","0","1","16","234.1","14.6","0.8%"
"17","Brandin Cooks (HOU)","119","22.7","81","1,150","14.2","20","6","0","0","0","0","15","232.0","15.5","0.7%"
"18","Marvin Jones Jr. (DET)","115","20.8","76","978","12.9","19","9","0","0","0","0","16","227.8","14.2","0.0%"
"19","Robbie Chosen (CAR)","136","25.9","95","1,096","11.5","16","3","4","15","0","1","16","224.1","14.0","0.0%"
"20","Terry McLaurin (WAS)","134","23.2","87","1,118","12.9","17","4","2","30","0","1","15","223.8","14.9","94.9%"
"21","Diontae Johnson (PIT)","144","22.1","88","923","10.5","10","7","3","15","0","1","15","221.8","14.8","1.0%"
"22","CeeDee Lamb (DAL)","111","17.9","74","935","12.6","18","5","10","82","1","1","16","217.7","13.6","99.1%"
"23","Chase Claypool (PIT)","109","16.7","62","873","14.1","14","9","10","16","2","1","16","214.9","13.4","1.1%"
