"Rank","Player","TGT","TGT %","REC","YDS","Y/R","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Brock Bowers (LV)","153","25.9","112","1,194","10.7","15","5","5","13","0","0","17","262.7","15.5","99.1%"
"2","Trey McBride (ARI)","147","28.1","111","1,146","10.3","10","2","1","2","1","0","16","249.8","15.6","99.1%"
"3","George Kittle (SF)","94","18.7","78","1,106","14.2","21","8","0","0","0","0","15","236.6","15.8","92.0%"
"4","Jonnu Smith (MIA)","111","19.5","88","884","10.0","4","8","2","-1","0","1","17","222.3","13.1","5.9%"
"5","Travis Kelce (KC)","133","23.4","97","823","8.5","9","3","1","1","0","1","16","195.4","12.2","91.9%"
"6","Mark Andrews (BAL)","69","15","55","673","12.2","6","11","4","5","0","0","17","188.8","11.1","85.5%"
"7","Zach Ertz (WAS)","91","18.2","66","654","9.9","7","7","0","0","0","0","17","177.4","10.4","3.8%"
"8","Sam LaPorta (DET)","83","16.1","60","726","12.1","11","7","0","0","0","0","16","174.6","10.9","95.1%"
"9","Pat Freiermuth (PIT)","78","17.2","65","653","10.0","7","7","0","0","0","2","17","168.3","9.9","23.9%"
"10","Tucker Kraft (GB)","70","14.9","50","707","14.1","11","7","3","6","0","1","17","163.3","9.6","93.4%"
"11","David Njoku (CLE)","97","15.4","64","505","7.9","4","5","0","0","0","0","11","148.5","13.5","30.6%"
"12","Hunter Henry (NE)","97","19.4","66","674","10.2","4","2","0","0","0","0","16","145.4","9.1","64.6%"
"13","Mike Gesicki (CIN)","83","13.2","65","665","10.2","5","2","0","0","0","1","17","141.5","8.3","17.7%"
"14","Cade Otton (TB)","87","15.5","59","600","10.2","7","4","1","-4","0","1","14","140.6","10.0","25.2%"
"15","Kyle Pitts Sr. (ATL)","74","13.8","47","602","12.8","7","4","0","0","0","0","17","131.2","7.7","96.0%"
"16","Isaiah Likely (BAL)","58","12.8","42","477","11.4","4","6","0","0","0","1","16","123.7","7.7","85.5%"
"17","Juwan Johnson (NO)","66","13.1","50","548","11.0","8","3","0","0","0","0","17","122.8","7.2","52.3%"
"18","Tyler Conklin (NYJ)","72","12","51","449","8.8","7","4","1","0","0","0","16","121.9","7.6","0.8%"
"19","Cole Kmet (CHI)","55","10.6","47","474","10.1","7","4","0","0","0","0","17","120.4","7.1","11.6%"
"20","Dalton Schultz (HOU)","85","15.5","53","532","10.0","5","2","0","0","0","0","17","118.2","7.0","36.1%"
"21","Chig Okonkwo (TEN)","70","14","52","479","9.2","4","2","1","17","0","1","17","113.6","6.7","38.5%"
"22","Noah Gray (KC)","49","8.9","40","437","10.9","6","5","1","-4","0","0","17","113.3","6.7","6.3%"
"23","Will Dissly (LAC)","64","12.9","50","481","9.6","5","2","0","0","0","0","15","110.1","7.3","0.6%"
"24","Austin Hooper (NE)","59","11.8","45","476","10.6","5","3","0","0","0","1","17","108.6","6.4","1.9%"
"25","Jake Ferguson (DAL)","86","13.8","59","494","8.4","6","0","0","0","0","2","14","104.4","7.5","90.6%"
