"Rank","Player","Team","Bye","POS","AVG"
"1","Jahmyr Gibbs","DET","6","RB1","1.5"
"2","Bijan Robinson","ATL","11","RB2","1.5"
"3","Ja'Marr Chase","CIN","6","WR1","3.0"
"4","Puka Nacua","LAR","11","WR2","4.0"
"5","Jaxon Smith-Njigba","SEA","11","WR3","5.0"
"6","Christian McCaffrey","SF","8","RB3","6.0"
"7","Amon-Ra St. Brown","DET","6","WR4","7.0"
"8","Jonathan Taylor","IND","13","RB4","8.0"
"9","Ashton Jeanty","LV","13","RB5","9.5"
"10","Justin Jefferson","MIN","6","WR5","11.0"
"11","James Cook III","BUF","7","RB6","11.0"
"12","CeeDee Lamb","DAL","14","WR6","11.0"
"13","Saquon Barkley","PHI","10","RB7","14.5"
"14","Chase Brown","CIN","6","RB8","14.5"
"15","De'Von Achane","MIA","6","RB9","15.0"
"16","Omarion Hampton","LAC","7","RB10","15.5"
"17","Kenneth Walker III","KC","5","RB11","16.0"
"18","Drake London","ATL","11","WR7","17.0"
"19","Brock Bowers","LV","13","TE1","19.5"
"20","Trey McBride","ARI","14","TE2","21.0"
"21","Derrick Henry","BAL","13","RB12","21.0"
"22","A.J. Brown","NE","11","WR8","23.0"
"23","Nico Collins","HOU","8","WR9","23.0"
"24","Jeremiyah Love","ARI","14","RB13","23.0"
"25","George Pickens","DAL","14","WR10","24.0"
"26","Josh Allen","BUF","7","QB1","27.0"
"27","Chris Olave","NO","8","WR11","27.0"
"28","Breece Hall","NYJ","13","RB14","28.5"
"29","Rashee Rice","KC","5","WR12","29.5"
"30","DeVonta Smith","PHI","10","WR13","31.0"
"31","Kyren Williams","LAR","11","RB15","32.0"
"32","Travis Etienne Jr.","NO","8","RB16","32.5"
"33","Javonte Williams","DAL","14","RB17","34.5"
"34","Malik Nabers","NYG","8","WR14","35.0"
"35","Zay Flowers","BAL","13","WR15","36.0"
"36","Ladd McConkey","LAC","7","WR16","36.5"
"37","Garrett Wilson","NYJ","13","WR17","37.0"
"38","Tee Higgins","CIN","6","WR18","37.0"
"39","Josh Jacobs","GB","11","RB18","38.0"
"40","Tetairoa McMillan","CAR","5","WR19","38.5"
"41","Emeka Egbuka","TB","10","WR20","39.0"
"42","Colston Loveland","CHI","10","TE3","41.0"
"43","Luther Burden III","CHI","10","WR21","42.5"
"44","Cam Skattebo","NYG","8","RB19","44.0"
