Player,FG,FGA,XPT,FPTS
Jason Myers SEA,36,40.9,46.3,154.4
Brandon Aubrey DAL,35.2,39.8,47.5,153.2
Ka'imi Fairbairn HOU,37.5,41.7,35.6,147.9
Cameron Dicker LAC,34.5,38.4,40.2,143.6
Harrison Mevis LAR,29.5,32.7,54.9,143.4
Jake Bates DET,29.4,35.2,51,139.3
Nick Folk ATL,33,36.2,39,138
Cairo Santos CHI,31,35.7,42.8,135.8
Eddy Pineiro SF,31.6,35,39.5,134.2
Tyler Loop BAL,29.1,33.2,46.7,134.1
Harrison Butker KC,31.9,37.3,37.9,133.7
Chase McLaughlin TB,31.8,37.2,38.3,133.6
Will Reichard MIN,31.8,34.8,38,133.5
Evan McPherson CIN,29,33.2,45.7,132.7
Cam Little JAC,29.2,33.2,43.6,131.1
Wil Lutz DEN,29,34.5,41.4,128.3
Trey Smack GB,28.9,34.7,39.6,126.3
Charlie Smyth NO,30.3,36,34.2,125.1
Tyler Bass BUF,25.9,30.8,46.7,124.4
Jake Moody WAS,27.9,34.2,38.6,122.3
Andy Borregales NE,26.2,31.3,43,121.5
Jake Elliott PHI,26.6,32.8,41.7,121.4
Chris Boswell PIT,28.7,32.6,34.3,120.4
Zane Gonzalez MIA,28.3,32.6,30.5,115.4
Joey Slye TEN,27.6,32.7,30.5,113.4
Chad Ryland ARI,26.9,33.6,31.8,112.7
Cade York NYJ,27.3,32.4,27.9,109.9
Matt Gay LV,25.8,32.7,30.1,107.4
Ben Sauls NYG,24.8,30.2,30.4,105
Andre Szmyt CLE,25.5,29.2,28.1,104.5
Ryan Fitzgerald CAR,24.8,29.7,29.4,103.7
Spencer Shrader IND,17,19.5,25.5,76.5
Jason Sanders NYJ,14.5,17,17.5,61
Blake Grupe IND,14.3,17.2,17.4,60.2
Riley Patterson MIA,13.5,15.5,19,59.5
Dominic Zvada NYG,7,9,9,30
Lucas Havrisik GB,0,0,0,0
