,RUSHING,,,RECEIVING,,,MISC,
Player,ATT,YDS,TDS,REC,YDS,TDS,FL,FPTS
Bijan Robinson ATL,294.2,"1,438.10",9.7,77.3,752.8,3.7,1.8,373.2
Jahmyr Gibbs DET,267.4,"1,336.90",14.6,70.4,584.8,4.2,1.1,372.9
Christian McCaffrey SF,258.3,"1,043.60",8.8,74.7,658.6,5,1.1,325.5
Jonathan Taylor IND,343.1,"1,547.60",13.3,47.7,346.1,1.6,1.7,323.2
De'Von Achane MIA,243.9,"1,221.70",6.1,70.4,530.9,4.4,1,306.7
Chase Brown CIN,238.1,"1,025.60",8.2,68.1,452.6,3.9,1.1,286.3
Derrick Henry BAL,310.4,"1,565.70",14,18.7,186.2,1.1,1.7,281.3
Ashton Jeanty LV,286.5,"1,092.80",8.6,59.9,417.6,3.5,1.1,281.1
James Cook III BUF,294,"1,417.50",10,34,285,1.8,2.4,270.2
Saquon Barkley PHI,303.2,"1,347.70",7.8,41.6,341.1,2.1,1,268.3
Josh Jacobs GB,292.1,"1,164.20",13,36,287.6,1.3,1.3,264.5
Omarion Hampton LAC,245.2,"1,044.40",10.4,51.5,345.9,1.9,1.1,262.3
Breece Hall NYJ,259.7,"1,155.80",7.3,47.4,415.7,2.4,1.7,258.9
Jeremiyah Love ARI,234.4,"1,076.10",7.3,53.5,420.7,2.1,2.2,255.6
Kenneth Walker III KC,253.1,"1,150.30",8,46.6,358.7,0.8,0.9,248.2
Cam Skattebo NYG,234.2,"1,000.80",8.1,45.7,363.5,2.8,1.6,244.4
Kyren Williams LAR,242.6,"1,123.50",10.4,33.2,236.9,2.3,1.6,242.3
Travis Etienne Jr. NO,255.3,"1,054.70",5.5,45.8,367.1,3.5,1,240.2
Javonte Williams DAL,260.7,"1,173.10",11,33.1,179.8,1.3,1.6,239
Bucky Irving TB,262.3,"1,042.00",5.9,41.4,356,2.4,1,229.4
D'Andre Swift CHI,233.2,"1,054.70",8.6,32.6,291.8,1.1,1,223.2
Quinshon Judkins CLE,296.1,"1,106.50",8.6,31.9,225.3,0.4,0.9,217.1
TreVeyon Henderson NE,194.2,901,7.4,38.6,253.8,1.3,0.9,204.6
Bhayshul Tuten JAC,236,961.3,8.8,24.9,188.5,2.2,2.2,201.7
Rico Dowdle PIT,216.9,951,6.7,33.6,239.5,1.5,1,200.4
Jaylen Warren PIT,186.9,813.8,5.2,43,319.4,1.7,0.9,196.1
Chuba Hubbard CAR,221.8,888.2,5,39,273.3,2.3,1.5,196.1
Jadarian Price SEA,224.9,945.4,7.9,24.2,222.7,1.2,2,191.6
Rhamondre Stevenson NE,171.8,732.9,6.8,36.1,323.7,1.9,2.1,190
David Montgomery HOU,230.2,938,7.5,28.8,217.5,0.3,1,189.1
Tony Pollard TEN,243.1,"1,056.00",5.8,30.9,191.7,0.2,2.1,187.6
RJ Harvey DEN,135.2,506.8,4.9,47.9,353.3,3.8,0.8,184.7
Kenneth Gainwell TB,116,507.3,4.2,56,390.5,2,0.9,181.3
Aaron Jones Sr. MIN,168.5,722.3,3.4,43,321,2,1.6,176.6
J.K. Dobbins DEN,226.4,"1,046.20",6.4,19.6,96.1,0.4,0.7,173.3
Kyle Monangai CHI,199,838,5.7,24.3,207.5,0.6,0.7,165.7
Rachaad White WAS,139.8,638.3,5.5,36.5,235,1.4,0.8,164
Jacory Croskey-Merritt WAS,187.5,852.6,7.7,11.3,81,0.2,1.7,148.9
Tyjae Spears TEN,97.6,387,3.4,48.8,320.8,0.8,0.7,143.1
Jordan Mason MIN,178.5,826.3,6.2,15.7,82.7,0.2,1,142.9
Blake Corum LAR,165.2,798.3,6.4,11.3,76.1,0.3,0.7,137.5
Zach Charbonnet SEA,131.7,530,6.9,20.2,152.4,0.2,0.7,129.9
Woody Marks HOU,146.5,570.1,3,22.6,189.6,2.2,0.8,127.8
Isiah Pacheco DET,152.4,647.2,3.9,21.6,134.7,0.9,0.8,127.1
Jonathon Brooks CAR,149.2,593,3.5,23.2,184.9,1.1,1.3,126
Alvin Kamara NO,120.2,481.2,2.2,35.2,232.3,0.9,0.6,124
Justice Hill BAL,56.4,273.5,2.2,34.7,303,1.8,0.2,116
Tyrone Tracy Jr. NYG,121,514.5,2.2,24,182.9,1.3,0.8,113.1
Dylan Sampson CLE,79.8,258.1,1.5,33.8,268.7,2.1,1.2,105.8
Samaje Perine CIN,98.9,442.7,3.7,17.9,135.1,0.4,1.9,96.1
Tyler Allgeier ARI,111.7,427.6,4.2,17,108.5,0.2,0.6,95.5
Ty Johnson BUF,51.4,222.1,2.1,22.8,241.5,2.2,0.2,94.1
Jordan James SF,102.3,416,3.2,16.2,148.5,0.7,1.2,93.4
AJ Dillon CAR,123,501,3,16,132,1,5,93.3
Brian Robinson Jr. ATL,129.3,563.9,4.3,6.9,43.2,0.1,0.7,93
Braelon Allen NYJ,105.9,427,4.3,12.8,94.2,0.7,1.7,91.3
Chris Rodriguez Jr. JAC,136.2,551.7,5.2,3.1,25.7,0.1,0.6,91.2
Kimani Vidal LAC,85.1,344.5,2.3,13.9,119.7,0.8,0.2,78.6
Mike Washington Jr. LV,92.8,352.5,2.1,15.2,121.4,0.6,0.7,77.7
Kaelon Black SF,98.1,387.6,3.2,8.6,79.4,0.6,1.1,75.6
Malik Davis DAL,81.8,382.7,2.8,8.7,67.3,0.2,0.1,71.1
Tank Bigsby PHI,85.6,419.4,3.2,3.3,29.3,0.1,0.2,67.3
Chris Brooks GB,72.7,323.2,1.3,15.4,107.6,0.3,0.6,66.9
Adam Randall BAL,55.1,281,2,10.3,103.4,1.1,0.6,66
Emanuel Wilson SEA,84.2,350.5,2.2,10.4,72.6,0.1,0.6,65.7
MarShawn Lloyd GB,67.2,286.1,2.1,12.1,85.2,0.6,0.3,64.4
James Conner ARI,42.5,155,1.5,18,131.5,1,0,61.7
Brashard Smith KC,41.5,159.1,1,18.7,130.9,1,0.1,59.1
Kyle Juszczyk SF,4.2,10.3,0.1,23.9,209.9,1.5,0.1,55.2
Keaton Mitchell LAC,62.3,287.7,1.2,9.5,66.7,0.2,0.6,52.2
Emari Demercado KC,50.5,299.5,1,8.5,65,0.5,1.5,51
Jawhar Jordan HOU,51.3,218.5,1.1,11,87,0.5,0.5,50.3
Jaylen Wright MIA,77.1,297,1.5,7.3,52.5,0.1,1.2,49.3
LeQuint Allen Jr. JAC,8,33.9,0.2,21.7,148,0.8,0.1,45.8
Kendre Miller NO,52.4,209.8,2.1,4,28.5,0,0,40.7
Emmett Johnson KC,50,208.4,1.6,5.2,41,0.2,0.2,40.5
Ty Chandler NO,54,144,1,12,57,0,0,38.1
Isaiah Davis NYJ,26.3,134.9,0.9,9.9,78.1,0.2,0,37.6
DJ Giddens IND,33.6,141.5,1,8.6,56.7,0.3,0.2,35.9
Ray Davis BUF,32.3,137.8,1.1,7.8,59.9,0.4,0.2,35.8
Jaydon Blue DAL,44.2,186.4,1.4,4.4,30.8,0.2,0.2,35.2
Frank Gore Jr. BUF,37,174,2,3,26,0,0,35
Roschon Johnson CHI,34,116,3,3,17,0,0,34.3
Phil Mafah DAL,32,142,2,4,34,0,0,33.6
Ollie Gordon II MIA,44,180.7,1.1,4,27.8,0.1,0.2,31.9
Tyler Badie DEN,4.1,17.6,0.1,14,115.5,0.6,0.1,31.7
Will Shipley PHI,9.3,39.6,0.3,11.3,83.2,0.4,0.1,27.5
Devin Singletary NYG,35.6,142.7,1,4.2,26.3,0.1,0.1,27.3
Jeremy McNichols WAS,17,88,1,7,54,0,0,27.2
Sean Tucker TB,34.4,145.4,2,0.5,3,0,0.1,27.1
Elijah Mitchell PHI,35,159,1,2,22,0,0,26.1
Jam Miller NE,34,156,1,2,25,0,0,26.1
Hunter Luepke DAL,13.3,56.1,0.4,8.6,61.8,0.4,0.1,25
Demond Claiborne MIN,27.7,121.5,0.9,3.3,25.2,0.1,0.1,23.6
Salvon Ahmed CHI,35,153,1,1,12,0,0,23.5
Jarquez Hunter LAR,32,148,1,1,14,0,0,23.2
Seth McGowan IND,22.3,97.1,1.2,3.2,26.9,0.1,0,23.2
Israel Abanikanda DAL,32,146,1,1,14,0,0,23
Donovan Edwards MIA,31,130,1,2,19,0,0,22.9
Carlos Washington Jr. MIA,31,130,1,2,19,0,0,22.9
Jonah Coleman DEN,26.2,109.4,0.8,3.7,27,0.1,0.1,22.8
Najee Harris LAC,28,126,1,2,18,0,0,22.4
Dameon Pierce PHI,35,161,1,0,0,0,0,22.1
Kaytron Allen WAS,23.6,110.8,0.7,3.1,25.5,0.1,0,21.5
Nicholas Singleton TEN,20.3,83.4,0.6,4.3,29.8,0.2,0.1,19.7
Devin Neal NO,22.5,90,1,2.5,17.5,0,0,19.3
Jerome Ford WAS,17.5,97,0.5,4,23.5,0,0,19.1
Tahj Brooks CIN,30.5,129.3,0.9,0,0,0,0.1,18.3
Trevor Etienne CAR,16.5,70.4,0.4,4.1,29.4,0.2,0.1,17.2
Michael Burton CLE,6.6,13.8,0.6,5.1,33.2,0.6,0,16.5
Alec Ingold LAC,2.1,8.6,0.1,7.9,58.2,0.2,0.1,16.3
Isaac Guerendo SF,16.5,80,0.5,2,18.5,0,0,14.9
Andrew Beck NYJ,0.5,4,0,4.6,31.6,1.1,0,14.8
Adam Prentice DEN,4.1,17.4,0.1,4.1,29.8,0.2,0,10.5
Connor Heyward LV,4.2,17.6,0.1,4,28.9,0.2,0,10.2
George Holani SEA,11.4,48.3,0.5,1.3,10.1,0.1,0.1,10.2
Max Bredeson MIN,2,8.5,0.1,4.5,29.4,0.2,0,9.6
Reggie Gilliam NE,0,0,0,4.1,29.8,0.2,0,8
Patrick Ricard NYG,0,0,0,4,26.9,0.1,0,7.4
Kaleb Johnson PIT,8.6,35.8,0.2,0,0,0,0,4.8
British Brooks HOU,4.2,18,0.1,0,0,0,0,2.4
DeeJay Dallas JAC,0,0,0,0,0,0,0,0
Kene Nwangwu NYJ,0,0,0,0,0,0,0,0
Bam Knight ARI,0,0,0,0,0,0,0,0
Trey Benson ARI,0,0,0,0,0,0,0,0
Jacob Saylors DET,0,0,0,0,0,0,0,0
Zavier Scott MIN,0,0,0,0,0,0,0,0
Rasheen Ali BAL,0,0,0,0,0,0,0,0
Dylan Laube LV,0,0,0,0,0,0,0,0
Chris Collier LV,0,0,0,0,0,0,0,0
Josh Williams TB,0,0,0,0,0,0,0,0
