,RECEIVING,,,RUSHING,,,MISC,
Player,REC,YDS,TDS,ATT,YDS,TDS,FL,FPTS
Puka Nacua LAR,126,"1,645.20",9.4,15.5,107.3,1.6,1,239.2
Jaxon Smith-Njigba SEA,119.3,"1,671.10",10.8,5.8,30.6,0.1,1.1,233
Ja'Marr Chase CIN,123.7,"1,528.30",10.3,3.5,20,0.1,1,215.3
Amon-Ra St. Brown DET,116.5,"1,397.40",10.7,2.7,10.7,0.1,0.4,204.6
Drake London ATL,103,"1,339.80",10.7,0,0,0,1,196
Rashee Rice KC,100,"1,088.00",10.9,8.1,38.3,1.3,0.6,184.9
CeeDee Lamb DAL,103.1,"1,358.90",7.3,3.6,18.8,0.1,0.3,181.1
George Pickens DAL,87.1,"1,252.60",9.1,0.5,-0.5,0,0.5,178.8
A.J. Brown NE,90,"1,273.60",8,0,0,0,0.3,174.5
Justin Jefferson MIN,100.4,"1,308.00",6.7,2,8.3,0.1,0.3,171.3
Nico Collins HOU,84.3,"1,226.00",7.4,2.1,12.4,0.5,0.8,169.7
Chris Olave NO,94.2,"1,199.20",8.2,0.5,0,0,0.3,168.5
Zay Flowers BAL,83.4,"1,193.80",6.8,9.9,58.6,0.7,1.5,167.1
Tee Higgins CIN,73.6,994,9.7,0,0,0,0.2,156.9
Emeka Egbuka TB,68.8,"1,097.70",7.6,2.1,10.9,0.1,0.3,156.1
Davante Adams LAR,67.8,933.3,10.3,0,0,0,0.2,155
Jameson Williams DET,63.6,"1,053.30",6.3,7,42,0.8,0.2,151.9
Rome Odunze CHI,62.5,997.3,8.7,0.5,2,0,0.3,151.8
Tetairoa McMillan CAR,77.9,"1,126.00",6.6,0,0,0,0.9,150.6
Garrett Wilson NYJ,96,"1,082.90",7.2,1.6,6.4,0,1.1,150.1
Alec Pierce IND,63,"1,065.30",7.2,0,0,0,0.3,149.3
DeVonta Smith PHI,90.2,"1,139.50",6,0,0,0,0.3,149.3
Malik Nabers NYG,73.1,973.8,8.3,3.5,10.7,0.1,0.3,147.8
Terry McLaurin WAS,74.8,"1,005.40",7.9,0.5,0.5,0,0.3,147.3
DJ Moore BUF,68.1,871.7,7.5,11.5,58.5,0.7,0.8,140.6
Courtland Sutton DEN,72.7,930.8,7.8,0,0,0,0.2,139.4
Ladd McConkey LAC,77.3,987.2,6.6,0,0,0,0.3,137.9
Jaylen Waddle DEN,75.9,983.1,6,2.5,18.6,0,0.3,135.7
Luther Burden III CHI,73.9,972.8,5.6,8.6,40.8,0.2,0.3,135.2
Christian Watson GB,51.5,861.4,7.6,2.6,12.1,0.1,0.3,132.5
DK Metcalf PIT,62.9,921.2,6.1,1,5,0.5,0.2,131.6
Marvin Harrison Jr. ARI,68.8,951.5,6,0,0,0,0.3,130.7
Mike Evans SF,63.7,907.6,6.6,0,0,0,0.2,130.2
Parker Washington JAC,62.4,882,6.1,8,20.4,0.1,0.4,126.7
Brian Thomas Jr. JAC,55.5,848.5,5.5,4,27.1,0.6,0.2,123.8
Quentin Johnston LAC,55.4,779.8,7.3,2.5,9.4,0,0.7,121.5
Jakobi Meyers JAC,72.4,830.2,5.6,5.5,25,0.1,0.8,118.3
Jordan Addison MIN,55.2,751.4,5.6,2.5,46.2,0.6,0.2,116.2
Jordyn Tyson NO,64.2,893.2,4.5,1,5,0,1.3,114.1
Carnell Tate TEN,66,897.1,4.3,1,4.5,0,1.4,113.2
Xavier Worthy KC,54.2,713.4,4.3,17.2,111,0.8,0.2,112.4
Jayden Reed GB,61.2,729.7,4.7,12.5,95.9,0.2,0.4,111.2
Romeo Doubs NE,57.8,747.5,6,0,0,0,0.3,110
Makai Lemon PHI,58.3,820.8,4.7,1.5,7,0,1.3,108.6
Chris Godwin Jr. TB,67.6,771,5.3,0.5,0.5,0,0.3,108.3
Michael Wilson ARI,66.5,804.8,4.6,0,1,0,0.2,107.9
Ricky Pearsall SF,60.8,839.9,3.4,4.2,21.2,0.1,0.3,106.7
Michael Pittman Jr. PIT,82.7,772,4.9,0,0,0,0.3,106.2
Calvin Ridley TEN,48.6,784.5,2.9,4.5,28,0.6,0.2,101.9
Matthew Golden GB,55.4,746.4,3.9,8.2,40.9,0.1,0.4,101.7
Wan'Dale Robinson TEN,83.9,826,3,3,14.2,0.1,0.3,101.6
Rashid Shaheed SEA,45.9,698.1,3.7,13.4,88.8,0.3,0.8,101.1
Khalil Shakir BUF,72.5,739.5,4.3,1.7,8.3,0.1,0.8,99.6
Theo Wease Jr. MIA,48,684,5,2,8,0,1,97.2
Josh Downs IND,76.8,715.3,4.3,2.1,6.4,0,0.8,96.8
Rashod Bateman BAL,38.4,594.4,6,0,0,0,0.2,95
Tre Tucker LV,50.1,633.5,3.8,10.7,52.9,0.2,0.1,91.9
Tank Dell HOU,50,632.7,3.8,10.2,48.8,0.1,0.2,91.4
Jalen Coker CAR,56.9,684.5,4.1,0,0,0,0.8,91.3
Jerry Jeudy CLE,54.7,746.6,2.9,0.5,2,0,0.7,90.5
John Metchie III CAR,64,599,5,3,-4,0,0,89.9
KC Concepcion CLE,55.6,707.6,3.1,4.2,22.4,0.1,1.3,89.8
Jayden Higgins HOU,49.3,608.7,4.7,0,0,0,0.2,88.7
Jalen McMillan TB,46.6,606.8,3.9,4.7,26.8,0.1,0.2,87.2
Omar Cooper Jr. NYJ,53.4,644.6,3.8,2.1,12.5,0.1,1.3,86.3
Jauan Jennings MIN,48.7,556.5,5.2,0,0,0,0.7,85.2
Jalen Nailor LV,42,566.4,4.4,2,8.5,0,0.2,83.7
Antonio Williams WAS,44.4,600.1,3.6,3.5,18.7,0.1,1.2,81.7
Denzel Boston CLE,50.4,633.7,3,1,5,0,0.8,80.1
Cooper Kupp SEA,47.4,583.7,3.4,0.5,1.5,0,0.7,77.6
Germie Bernard PIT,44.6,554.8,3.1,2.1,10.8,0,0.8,73.9
Darnell Mooney NYG,36.5,535.2,2.8,1.1,6,0,0.1,70.6
Kayshon Boutte NE,30.3,462,4,0,0,0,0.1,70.2
