"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" ","","",""
"Jahmyr Gibbs","DET","274.4","1381.2","13.8","71.3","580.6","4.1","1.1","372.9"
"Bijan Robinson","ATL","289.5","1426.1","9.5","79.3","735.9","3.5","1.8","369.5"
"Christian McCaffrey","SF","269.4","1093.6","8.7","78.4","694.0","4.6","1.1","334.8"
"Jonathan Taylor","IND","326.6","1504.6","12.9","42.9","341.5","1.5","1.7","310.1"
"De'Von Achane","MIA","238.3","1199.8","6.0","65.3","491.1","4.0","1.0","292.4"
"Chase Brown","CIN","238.5","1036.8","7.8","63.8","427.6","4.0","1.1","278.5"
"Ashton Jeanty","LV","281.0","1105.2","8.0","58.7","414.6","3.3","1.1","276.7"
"Derrick Henry","BAL","314.0","1568.5","13.4","18.1","175.1","0.7","1.7","273.7"
"James Cook III","BUF","287.7","1404.7","10.3","33.3","283.7","1.9","2.4","270.5"
"Saquon Barkley","PHI","295.8","1299.1","8.2","41.7","330.4","2.1","1.0","264.7"
"Kenneth Walker III","KC","262.5","1191.7","8.7","45.8","352.8","1.2","0.9","258.0"
"Jeremiyah Love","ARI","237.2","1068.9","7.2","54.7","423.1","2.1","2.2","255.4"
"Omarion Hampton","LAC","243.7","1035.1","9.5","50.2","342.8","1.9","1.0","254.2"
"Josh Jacobs","GB","273.9","1101.6","11.7","35.3","280.0","1.2","1.3","248.6"
"Breece Hall","NYJ","249.0","1113.5","6.2","46.4","404.6","2.3","1.7","245.4"
"Kyren Williams","LAR","240.2","1118.4","10.1","33.8","239.6","2.2","1.5","240.2"
"Cam Skattebo","NYG","238.5","993.9","8.0","43.3","343.5","2.2","1.6","234.9"
"Travis Etienne Jr.","NO","248.9","1054.0","5.4","45.3","356.8","3.0","1.0","234.9"
"Javonte Williams","DAL","256.2","1160.4","10.4","33.0","192.0","1.2","1.6","234.1"
"Bucky Irving","TB","256.1","1019.7","6.1","39.9","336.7","2.2","1.0","223.7"
"D'Andre Swift","CHI","233.4","1053.4","8.0","35.1","303.5","1.0","1.0","223.4"
"Quinshon Judkins","CLE","289.2","1105.3","8.1","31.3","218.8","0.6","0.9","214.1"
"Bhayshul Tuten","JAC","239.4","979.6","8.2","29.2","222.1","2.1","2.2","207.3"
"Jaylen Warren","PIT","188.0","826.8","5.2","42.4","322.1","1.8","0.9","197.3"
"David Montgomery","HOU","231.5","959.7","7.7","30.9","232.0","0.5","1.5","196.3"
"TreVeyon Henderson","NE","187.1","858.9","6.9","35.3","242.4","1.1","0.8","191.9"
"Rhamondre Stevenson","NE","168.6","723.1","6.9","38.5","325.5","1.7","2.1","190.9"
"Jadarian Price","SEA","215.5","913.2","8.0","26.0","220.1","1.1","2.0","189.6"
"Tony Pollard","TEN","236.2","1034.1","5.5","31.9","208.2","0.5","2.1","187.8"
"Rico Dowdle","PIT","200.0","869.8","5.8","31.7","222.3","1.0","1.0","180.2"
"J.K. Dobbins","DEN","219.6","1027.8","6.9","19.5","104.5","0.6","0.7","176.1"
"Chuba Hubbard","CAR","178.2","728.2","5.0","36.1","256.0","1.8","0.9","173.2"
"Kenny Gainwell","TB","113.6","497.8","3.9","49.7","352.3","2.0","0.9","168.1"
"Jonathon Brooks","CAR","188.0","776.5","5.1","29.6","224.9","1.1","1.5","163.9"
"RJ Harvey","DEN","107.6","406.3","4.0","45.9","341.6","3.2","0.7","162.1"
"Rachaad White","WAS","137.0","605.3","5.4","35.8","247.9","1.6","0.8","161.2"
"Aaron Jones Sr.","MIN","149.9","638.1","3.1","40.7","300.7","1.7","1.0","161.1"
"Kyle Monangai","CHI","191.3","817.3","5.2","22.9","195.0","0.4","0.7","156.2"
"Jacory Croskey-Merritt","WAS","185.1","831.3","7.5","12.4","91.3","0.2","1.8","147.4"
"Jordan Mason","MIN","192.8","878.0","6.1","14.5","75.8","0.1","1.1","145.1"
"Blake Corum","LAR","167.6","801.5","6.4","11.9","80.4","0.2","0.7","138.6"
"Tyjae Spears","TEN","94.8","379.6","3.0","45.9","306.1","1.2","0.7","138.1"
"Woody Marks","HOU","142.7","555.8","2.7","24.1","200.1","1.8","0.8","124.7"
"Zach Charbonnet","SEA","130.5","533.0","5.6","19.8","147.0","0.5","0.7","123.1"
"Alvin Kamara","NO","119.0","459.1","2.4","33.6","233.6","1.0","0.8","121.3"
"Isiah Pacheco","DET","139.5","581.4","3.5","21.1","136.4","0.6","0.8","115.9"
"Justice Hill","BAL","56.4","273.7","2.2","32.7","283.4","1.8","0.2","112.1"
"Dylan Sampson","CLE","73.5","254.1","1.4","35.9","285.1","2.1","1.2","107.9"
"Tyrone Tracy Jr.","NYG","98.4","416.8","2.0","24.6","190.9","1.2","0.7","103.1"
"AJ Dillon","CAR","120.0","529.0","3.0","18.0","146.0","1.0","5.0","99.5"
"Tyler Allgeier","ARI","111.7","424.8","4.7","17.1","108.4","0.2","0.6","98.2"
"Braelon Allen","NYJ","111.8","449.0","4.5","13.9","100.8","0.7","1.7","96.5"
"Samaje Perine","CIN","98.5","441.8","3.7","17.9","135.7","0.4","1.9","96.1"
"Chris Rodriguez Jr.","JAC","135.5","560.8","5.1","5.4","42.8","0.1","0.6","95.6"
"Ty Johnson","BUF","51.9","218.8","1.7","24.9","253.0","2.1","0.2","94.5"
"Brian Robinson Jr.","ATL","129.8","564.2","4.3","6.9","43.1","0.1","0.7","93.0"
"Kaelon Black","SF","113.6","452.2","3.6","10.6","95.0","0.7","1.2","88.6"
"Keaton Mitchell","LAC","95.6","432.8","2.2","15.5","114.5","0.4","0.7","84.4"
"Mike Washington Jr.","LV","101.0","379.6","2.6","15.7","127.5","0.6","1.2","83.5"
"Emari Demercado","KC","76.8","427.0","1.7","16.4","119.2","0.8","1.7","82.7"
"Tank Bigsby","PHI","104.6","510.9","4.2","3.8","31.8","0.1","0.7","82.2"
"Jordan James","SF","80.2","322.1","2.5","14.0","132.6","0.6","1.1","75.9"
"Adam Randall","BAL","55.1","281.2","2.0","10.8","108.9","1.1","0.6","67.0"
"Chris Brooks","GB","72.7","324.1","1.3","13.4","93.3","0.2","0.6","63.2"
"James Conner","ARI","42.5","153.5","1.5","18.0","131.5","1.0","0.0","61.5"
"Najee Harris","NYG","73.4","310.8","2.2","8.6","62.8","0.1","0.1","59.8"
"Kimani Vidal","LAC","60.2","234.7","1.6","11.9","104.0","0.7","0.1","59.0"
"Kyle Juszczyk","SF","4.2","10.3","0.1","23.7","209.0","1.5","0.1","54.8"
"Jaydon Blue","DAL","62.4","263.0","1.9","8.7","61.7","0.4","0.3","54.6"
"MarShawn Lloyd","GB","62.3","259.0","1.9","8.5","62.9","0.4","0.2","54.0"
"Emanuel Wilson","SEA","70.2","290.5","1.7","7.7","52.1","0.0","0.5","51.3"
"Jaylen Wright","MIA","79.9","308.9","1.5","7.2","52.5","0.1","1.2","50.7"
"Jawhar Jordan","HOU","51.3","218.0","1.1","11.0","91.0","0.5","0.5","50.6"
"Jonah Coleman","DEN","48.8","203.2","1.6","10.2","74.8","0.4","0.2","49.4"
"Malik Davis","DAL","57.5","277.0","2.0","4.5","37.5","0.0","0.5","47.0"
"Emmett Johnson","KC","49.5","206.3","1.6","8.4","59.4","0.4","0.2","46.4"
"LeQuint Allen Jr.","JAC","32.0","126.0","0.6","15.3","99.1","0.4","0.1","43.8"
"Isaiah Davis","NYJ","35.1","174.7","1.2","9.9","78.7","0.2","0.1","43.4"
"George Holani","SEA","38.9","164.1","1.5","8.0","62.2","0.3","0.2","41.1"
"Ty Chandler","NO","51.0","138.0","1.0","12.0","58.0","0.0","0.0","37.6"
"Trayveon Williams","DET","32.0","138.0","1.0","9.0","77.0","0.0","0.0","36.5"
"Ray Davis","BUF","32.3","137.9","1.1","7.8","60.0","0.4","0.2","35.9"
"DJ Giddens","IND","33.3","140.5","1.0","8.4","58.3","0.3","0.2","35.8"
"Frank Gore Jr.","BUF","37.0","174.0","2.0","3.0","26.0","0.0","0.0","35.0"
"Ollie Gordon II","MIA","49.4","203.5","1.2","3.9","27.7","0.1","0.2","34.8"
"Roschon Johnson","CHI","34.0","116.0","3.0","3.0","18.0","0.0","0.0","34.4"
"Brashard Smith","KC","25.0","89.0","0.5","10.5","71.0","0.5","0.0","32.5"
"Sean Tucker","TB","38.8","163.6","2.2","1.5","10.2","0.0","0.1","32.1"
"Phil Mafah","DAL","31.6","137.2","1.5","4.2","32.3","0.1","0.1","30.9"
"Will Shipley","PHI","9.3","39.6","0.3","11.3","83.5","0.4","0.1","27.6"
"Jeremy McNichols","WAS","17.0","88.0","1.0","7.0","53.0","0.0","0.0","27.1"
"Jam Miller","NE","34.0","145.0","1.0","2.0","25.0","0.0","0.0","25.0"
"Hunter Luepke","DAL","13.4","56.5","0.4","8.6","61.6","0.4","0.1","25.0"
"Audric Estime","NO","30.0","122.0","1.0","3.0","24.0","0.0","0.0","23.6"
"Salvon Ahmed","CHI","35.0","152.0","1.0","1.0","12.0","0.0","0.0","23.4"
"Jarquez Hunter","LAR","32.0","148.0","1.0","1.0","14.0","0.0","0.0","23.2"
"Seth McGowan","IND","22.3","96.4","1.2","3.2","27.3","0.1","0.0","23.1"
