"Player","Team","REC","YDS","TDS","FL","FPTS"
" ","",""
"Trey McBride","ARI","108.9","1051.1","6.8","0.2","254.3"
"Brock Bowers","LV","96.6","1026.9","7.5","0.2","244.1"
"Colston Loveland","CHI","79.1","927.5","6.7","0.2","211.4"
"Tyler Warren","IND","79.0","878.1","5.5","0.3","199.2"
"Kyle Pitts Sr.","ATL","79.5","880.9","4.7","0.1","195.7"
"Harold Fannin Jr.","CLE","78.7","816.7","5.4","0.8","191.2"
"Travis Kelce","KC","74.9","785.4","4.8","0.3","182.0"
"Sam LaPorta","DET","68.4","787.5","5.5","0.2","179.5"
"Dallas Goedert","PHI","65.5","688.9","7.6","0.2","179.4"
"Tucker Kraft","GB","61.5","785.8","6.5","0.2","178.4"
"George Kittle","SF","66.3","753.4","5.7","0.2","175.6"
"Jake Ferguson","DAL","73.9","606.4","5.9","1.4","167.4"
"Mark Andrews","BAL","59.7","618.9","7.7","0.3","167.2"
"Isaiah Likely","NYG","62.8","745.6","5.0","1.3","165.0"
"Dalton Kincaid","BUF","57.1","707.1","5.5","0.2","160.2"
"Juwan Johnson","NO","64.7","730.3","3.3","1.3","154.7"
"Brenton Strange","JAC","60.0","661.2","4.3","0.2","151.8"
"Hunter Henry","NE","55.6","645.2","5.1","0.1","150.4"
"Dalton Schultz","HOU","65.9","639.8","3.4","0.2","149.7"
"T.J. Hockenson","MIN","63.9","574.5","3.3","0.2","140.6"
"Pat Freiermuth","PIT","53.0","560.0","4.3","0.2","134.1"
"Greg Dulcich","MIA","54.6","620.0","3.2","1.2","133.5"
"Cade Otton","TB","55.2","557.7","3.1","0.1","129.2"
"Kenyon Sadiq","NYJ","49.7","546.6","4.1","0.7","127.3"
"Chig Okonkwo","WAS","52.8","569.8","2.8","0.1","126.2"
"AJ Barner","SEA","48.6","469.9","4.9","0.2","124.4"
"Terrance Ferguson","LAR","38.3","526.8","5.1","0.2","121.4"
"Evan Engram","DEN","53.4","475.9","2.7","0.1","117.1"
"Gunnar Helm","TEN","48.9","444.1","3.1","0.2","111.6"
"Darren Waller","CAR","41.0","426.1","4.7","0.1","111.5"
"David Njoku","LAC","42.3","396.6","4.3","0.1","107.4"
"Mike Gesicki","CIN","41.4","434.3","3.6","0.1","106.1"
"Oronde Gadsden II","LAC","37.8","474.9","2.8","0.6","101.1"
"Mason Taylor","NYJ","45.8","403.5","2.4","0.1","100.6"
"Colby Parkinson","LAR","34.0","349.2","4.0","0.6","91.8"
"Michael Mayer","LV","40.0","378.0","2.1","0.1","90.2"
"Dawson Knox","BUF","28.6","331.7","2.9","0.1","79.2"
"Theo Johnson","NYG","27.5","313.8","2.9","0.1","75.9"
"Darnell Washington","PIT","30.7","329.1","2.0","0.6","74.1"
"Tyler Higbee","LAR","25.1","296.5","2.4","0.0","69.2"
"Erick All Jr.","CIN","30.5","268.6","1.9","0.1","68.8"
"Cole Kmet","CHI","26.2","274.1","2.2","0.1","66.8"
"Noah Fant","NO","29.3","274.4","1.6","1.6","63.2"
"Will Kacmarek","MIA","26.6","250.7","1.9","0.6","61.8"
"Austin Hooper","ATL","22.5","236.4","1.6","0.1","55.7"
"Charlie Kolar","LAC","20.2","229.9","2.0","0.1","55.4"
"Brock Wright","DET","20.9","187.1","2.3","0.0","53.4"
"Josh Oliver","MIN","18.6","193.9","2.4","0.1","52.1"
"Daniel Bellinger","TEN","19.3","222.3","1.8","0.0","52.0"
"Noah Gray","KC","21.0","211.8","1.5","0.1","51.0"
"Eli Stowers","PHI","20.9","214.5","1.4","0.6","49.6"
"Tommy Tremble","CAR","21.1","197.8","1.4","0.1","49.4"
"Elijah Arroyo","SEA","19.0","198.7","1.6","0.1","48.2"
"Adam Trautman","DEN","19.3","197.7","1.5","0.0","47.9"
"Luke Musgrave","GB","20.5","200.5","1.1","0.0","47.2"
"Eli Raridon","NE","18.8","192.8","1.5","0.6","46.2"
"Ja'Tavion Sanders","CAR","22.3","178.1","1.0","0.1","46.2"
"Elijah Higgins","ARI","22.0","196.0","0.8","0.6","45.4"
"Marlin Klein","HOU","19.5","201.6","1.1","0.5","45.3"
"Ben Sims","MIA","19.5","184.6","1.2","0.0","44.9"
"Davis Allen","LAR","16.9","157.3","1.9","0.0","43.8"
"John Bates","WAS","17.1","169.9","1.6","0.6","42.4"
"Jeremy Ruckert","NYJ","19.7","146.3","1.3","0.0","41.9"
"Jake Tonges","SF","16.7","167.2","1.3","0.0","41.5"
"Nate Boerkircher","JAC","14.9","156.8","1.3","0.5","37.2"
"Connor Heyward","LV","14.0","103.0","2.0","0.0","36.3"
"Drew Sample","CIN","15.2","123.2","1.1","0.1","33.9"
"Cade Stover","HOU","15.3","130.8","0.9","0.1","33.4"
"Nate Adkins","DEN","11.9","88.4","1.8","0.0","31.7"
"Nick Vannett","SEA","10.0","95.0","2.0","0.0","31.5"
"Jack Endries","CIN","13.0","123.0","1.0","0.0","31.3"
"Luke Schoonmaker","DAL","13.2","121.5","0.9","0.0","30.9"
"Ben Sinnott","WAS","11.1","114.4","1.4","0.0","30.8"
"Zack Kuntz","DAL","12.0","128.0","1.0","0.0","30.8"
"Charlie Woerner","ATL","14.5","127.4","0.6","0.0","30.7"
"Jackson Hawes","BUF","10.5","115.1","1.4","0.0","30.6"
"Will Mallory","IND","11.0","125.0","1.0","0.0","29.5"
"Tanner Hudson","CIN","13.1","110.3","0.9","0.1","29.3"
"Cam Grandy","CIN","13.0","100.0","1.0","0.0","29.0"
"Rivaldo Fairweather","ARI","12.0","109.0","1.0","0.0","28.9"
"Grant Calcaterra","PHI","11.0","115.0","1.0","0.0","28.5"
"Dallen Bentley","DEN","12.0","105.0","1.0","0.0","28.5"
"Foster Moreau","HOU","9.3","105.5","1.3","0.0","27.6"
"Mo Alie-Cox","IND","10.7","113.9","0.9","0.1","27.4"
"Jared Wiley","KC","11.0","96.0","1.0","0.0","26.6"
"Jaheim Bell","PIT","10.0","98.0","1.0","0.0","25.8"
"Drake Dabney","GB","10.0","95.0","1.0","0.0","25.5"
"Seydou Traore","MIA","9.0","88.0","1.0","0.0","23.8"
"Durham Smythe","BAL","9.8","94.0","0.7","0.1","23.5"
"Oscar Delp","NO","9.4","95.1","0.7","0.0","23.3"
"Mitchell Evans","CAR","8.0","71.5","1.0","0.0","21.2"
"Joe Royer","CLE","8.8","81.7","0.7","0.0","20.9"
"Max Klare","LAR","8.0","82.6","0.7","0.0","20.3"
"Justin Joly","DEN","8.0","71.4","0.7","0.0","19.0"
"Tanner Koziol","JAC","7.0","73.8","0.6","0.0","18.1"
"Payne Durham","TB","7.2","70.6","0.6","0.1","18.0"
"Tip Reiman","ARI","7.9","62.2","0.6","0.0","17.7"
"Devin Culp","TB","5.5","59.0","1.0","0.0","17.4"
"Josh Whyle","GB","6.8","59.5","0.7","0.0","16.7"
"Josh Cuevas","BAL","5.7","66.4","0.6","0.0","16.2"
"Hunter Long","JAC","5.0","45.0","1.0","0.0","15.5"
"Cole Turner","MIA","4.5","44.0","0.5","0.0","11.9"
"Luke Farrell","SF","4.2","40.7","0.3","0.0","9.9"
"Brevyn Spann-Ford","DAL","3.9","36.7","0.3","0.0","9.4"
"CJ Dippre","NE","3.9","37.3","0.3","0.0","9.2"
"Ko Kieft","TB","3.7","36.1","0.3","0.0","9.0"
"Tyler Conklin","DET","3.7","37.9","0.3","0.0","8.9"
"Drew Ogletree","IND","3.6","36.3","0.3","0.0","8.8"
"Sam Roush","CHI","3.7","33.8","0.3","0.0","8.6"
"Eric Saubert","SEA","3.4","34.4","0.3","0.0","8.6"
"Ian Thomas","LV","3.8","36.0","0.2","0.0","8.3"
"Johnny Mundt","PHI","3.5","35.4","0.2","0.0","8.2"
"Jack Stoll","CLE","3.6","30.4","0.2","0.0","7.5"
"Chris Manhertz","NYG","1.8","16.3","0.1","0.0","4.2"
"Quintin Morris","JAC","0.0","0.0","0.0","0.0","0.0"
"Jelani Woods","NYJ","0.0","0.0","0.0","0.0","0.0"
"Lucas Krull","DEN","0.0","0.0","0.0","0.0","0.0"
"Blake Whiteheart","CLE","0.0","0.0","0.0","0.0","0.0"
"Julian Hill","NE","0.0","0.0","0.0","0.0","0.0"
""
""
